   -18007,         0
   -18038,      1270
   -18021,      2460
   -18147,      3688
   -18147,      5321
   -18042,      6642
   -18132,      7754
   -18590,      9062
   -18630,     10823
   -18505,     12364
   -18751,     13601
   -19211,     15107
   -19377,     17116
   -19068,     19214
   -19583,     20885
   -20171,     22816
   -20546,     25505
   -20560,     27889
   -20858,     30614
   -21789,     33437
   -22543,     37451
   -22444,     41293
   -23570,     45142
   -24506,     49924
   -25565,     56216
   -26683,     63668
   -28290,     71292
   -30810,     81792
   -33009,     95598
   -35538,    113132
   -40442,    136696
   -48821,    171476
   -60005,    230581
   -79446,    339250
  -135548,    626953
  -773796,   3832710
   186419,   -973300
    73339,   -438923
    42734,   -283438
    30044,   -211691
    21187,   -170274
    14775,   -142139
    11173,   -121921
     8888,   -107481
     6226,    -96431
     4188,    -87434
     2856,    -79590
     1971,    -73314
      896,    -68728
     -275,    -64065
     -827,    -59993
    -1175,    -56599
    -1948,    -53795
    -2621,    -51122
    -2889,    -48335
    -3095,    -46230
    -3626,    -44464
    -3977,    -42532
    -4332,    -40818
    -4461,    -39282
    -4558,    -37984
    -5090,    -36680
    -5226,    -35304
    -5265,    -34262
    -5402,    -33324
    -5708,    -32322
    -5955,    -31254
    -5962,    -30323
    -6102,    -29660
    -6284,    -28830
    -6376,    -27993
    -6459,    -27304
    -6514,    -26652
    -6727,    -26087
    -6818,    -25417
    -6759,    -24789
    -6858,    -24285
    -7032,    -23813
    -7070,    -23222
    -7117,    -22680
    -7143,    -22295
    -7324,    -21861
    -7373,    -21349
    -7349,    -20914
    -7439,    -20569
    -7486,    -20223
    -7593,    -19767
    -7593,    -19447
    -7611,    -19125
    -7723,    -18774
    -7810,    -18350
    -7720,    -18080
    -7814,    -17811
    -7867,    -17460
    -7941,    -17163
    -7921,    -16881
    -7923,    -16641
    -8044,    -16346
    -8015,    -16034
    -8023,    -15811
    -8048,    -15582
    -8122,    -15337
    -8153,    -15080
    -8116,    -14843
    -8157,    -14633
    -8203,    -14458
    -8267,    -14140
    -8236,    -13942
    -8239,    -13819
    -8292,    -13586
    -8310,    -13349
    -8325,    -13183
    -8284,    -12988
    -8394,    -12856
    -8369,    -12616
    -8370,    -12383
    -8415,    -12273
    -8460,    -12116
    -8452,    -11915
    -8433,    -11766
    -8451,    -11625
    -8492,    -11460
    -8486,    -11258
    -8503,    -11108
    -8523,    -10964
    -8549,    -10816
    -8580,    -10685
    -8557,    -10550
    -8580,    -10399
    -8598,    -10262
    -8575,    -10130
    -8624,    -10008
    -8645,     -9847
    -8647,     -9749
    -8667,     -9589
    -8664,     -9495
    -8682,     -9366
    -8671,     -9200
    -8679,     -9121
    -8673,     -9014
    -8698,     -8876
    -8734,     -8692
    -8698,     -8606
    -8690,     -8514
    -8726,     -8405
    -8732,     -8288
    -8737,     -8179
    -8725,     -8097
    -8786,     -7986
    -8774,     -7826
    -8759,     -7779
    -8767,     -7641
    -8777,     -7528
    -8813,     -7437
    -8803,     -7359
    -8769,     -7257
    -8799,     -7143
    -8814,     -7034
    -8824,     -6933
    -8799,     -6867
    -8839,     -6768
    -8820,     -6661
    -8818,     -6571
    -8843,     -6489
    -8869,     -6452
    -8863,     -6304
    -8828,     -6213
    -8876,     -6159
    -8893,     -6056
    -8885,     -5960
    -8854,     -5861
    -8870,     -5813
    -8910,     -5701
    -8882,     -5622
    -8901,     -5516
    -8890,     -5454
    -8951,     -5361
    -8896,     -5280
    -8923,     -5207
    -8914,     -5134
    -8938,     -5060
    -8927,     -4977
    -8892,     -4888
    -8923,     -4839
    -8937,     -4726
    -8939,     -4686
    -8941,     -4589
    -8920,     -4493
    -8961,     -4467
    -8952,     -4332
    -8936,     -4248
    -8957,     -4205
    -8969,     -4159
    -8966,     -4051
    -8971,     -3987
    -8942,     -3924
    -8964,     -3849
    -8965,     -3775
    -8936,     -3711
    -8978,     -3631
    -8975,     -3584
    -8994,     -3470
    -8982,     -3427
    -8952,     -3388
    -8990,     -3307
    -8989,     -3210
    -8994,     -3146
    -9000,     -3082
    -9012,     -3027
    -9015,     -2930
    -9001,     -2876
    -9012,     -2814
    -8982,     -2775
    -8999,     -2680
    -8982,     -2576
    -9025,     -2561
    -9009,     -2473
    -9062,     -2410
    -9001,     -2354
    -9014,     -2332
    -9006,     -2222
    -9024,     -2155
    -9006,     -2083
    -8983,     -2003
    -9031,     -1973
    -9005,     -1888
    -9034,     -1831
    -9010,     -1762
    -9011,     -1725
    -9026,     -1643
    -9011,     -1604
    -9008,     -1523
    -9005,     -1459
    -9005,     -1378
    -9015,     -1358
    -9029,     -1307
    -9028,     -1243
    -9024,     -1147
    -9040,     -1086
    -9008,     -1036
    -9057,      -941
    -9037,      -902
    -9030,      -856
    -9028,      -794
    -9049,      -718
    -9082,      -666
    -9065,      -584
    -8986,      -580
    -9050,      -498
    -9021,      -432
    -9046,      -358
    -9023,      -321
    -9053,      -249
    -9006,      -168
    -9034,      -122
    -9025,       -39
