real, imaginary
  9271554,         0
   766364,     -2024
  -137814,   -147349
   753800,   -816981
  -611113,    172590
   590071,  -3317764
   -68095,    504558
  -704882,   -771631
 -1192355,   -576834
  1811789,    692066
  2005343,   -235419
   216494,    425828
  -736347,    369310
    93738,    129993
  -635769,    197143
   207072,   -481372
  -158137,      8010
    32852,    612255
   286344,     44969
    48878,    289641
  -320644,     17560
     1529,    396164
   487876,   -737563
   -38280,    -45866
  -546133,   1122449
    -1133,    539170
  -189665,    -88896
  -358352,    326048
   134068,   -146186
  -398461,   -111535
  -112214,    -36889
  -155569,    225314
    53435,    -94829
  -161420,     16224
  -287523,    404830
     7416,     28746
   123244,     49690
  -311968,    183257
   -60396,     74040
  -177138,   -275625
   -39029,   -143600
  -423927,    255081
  -139497,    331996
   200085,   -293402
  -152848,   -114118
   150698,    -93010
   188612,     61951
   -73627,    139159
    29796,    228008
  -125195,    -89985
  -203257,    120643
   -22028,    159246
    20862,   -126415
   238620,    -37732
   -17441,    349288
   184852,     20665
  -167577,   -263475
  -141701,     87156
   221818,    249287
   140227,    107390
    39724,    193197
   120382,    270959
  -113828,    -21492
    16467,    157538
  -111698,    122739
    28982,     49378
    44362,    -91885
   -93925,    180781
    66765,    274520
    38145,     67491
   102319,     -7906
    39100,    311080
    10255,     84141
   -62371,    -30436
  -220442,     30706
   -51865,    272586
   223014,    107578
  -127366,    -14451
   -56935,    156516
   -57640,    -51383
    73603,    -52624
    55112,     88816
    40685,    -45765
    21724,     45109
    25915,    231155
   -73024,    114975
   -67497,     57093
    11431,   -101560
   191666,     35891
    28621,   -120920
   -48491,     41341
    20910,     91641
   -30700,    -27442
   140539,     23321
   156673,     30059
    69050,    -47324
    37489,    123404
   169891,     30255
    38019,    111252
   -29155,    -21068
   -37796,    -70795
    97947,    126780
    63939,     35580
   112915,     27964
    67708,     -4666
   180533,     36794
   112736,     12194
     7056,     15273
   -67867,    185212
    63721,    116709
   104098,   -100606
    37291,    129041
    10328,     29108
    16008,     79002
    92232,      6098
     1858,    -27318
   -79406,     -3993
    54903,    -39580
   127399,      9577
    -4906,    154443
   102733,    108886
    -9977,     50036
   -55408,    -93719
   -51495,    -30374
    77890,    -26301
   -46615,    -40216
   -41180,    112337
   121779,    -70501
    32530,    -66232
  -117425,     22541
   129588,    -14272
   119276,    -87964
    40772,    -20390
   -44086,      5209
   -38662,     44068
    44267,    -51183
   -26578,     25233
    80343,    -45594
    62357,    -17162
    10165,   -105053
    51378,   -116630
    67196,      2802
    51030,     71703
    57127,     13937
     4226,    -14528
    80242,    -11916
   -75461,     54676
   113311,      4044
   100008,    -95526
   -46967,     13448
      163,     39234
   -13621,     -8144
   -59464,    -43074
    93502,     47837
   140690,    -40378
    82000,     39698
   -77610,     83596
     5510,     18701
   -17512,    -58518
  -135320,     90435
    73248,     11821
     3868,    -88395
   -47160,     13032
    -8680,    130564
    34615,    -41763
    12410,    -88531
   -52210,    -43441
   -36260,     27611
    64394,     57738
  -105360,      8729
    -9888,     41906
    19331,    -15833
    16540,    -20359
   -90809,    -32169
   -74935,    -54493
    43787,    -55158
    -4775,     -2957
    -4305,    -36408
    64770,      8443
   -35437,     -7966
    17051,    116690
    51511,    -45733
   -46560,    -78440
    -4136,    -17953
    -1369,    -30626
    33120,     49928
   -45932,     97948
     9793,    -57044
    28586,    -52374
    60894,    -16719
    60451,     21226
    36803,    -13038
   -18806,     57488
    52847,    143138
   -51048,    -46535
   -43351,     27879
    -7379,     55244
    70965,     27088
    71207,     18626
   -18042,    -10287
   -76605,      4908
     9891,     52461
    60764,     -6303
   -24346,    126981
    -4280,     30875
    51490,     32694
    13478,     22057
   -72685,     43050
    -6918,     54831
   -29214,    -15624
   -27029,     11729
   -43397,     12943
    20303,    -27481
    -3374,     67035
    88746,      9220
    50139,      9091
   -11459,     62279
   -98976,    -52618
   -52484,     32966
    70826,      6896
    50878,     22133
   -60261,     14034
    38589,     33768
    44126,    -22191
   -34471,    -67473
    16234,    -18677
    97112,     39895
    87146,    -74074
   -33531,     84572
    48324,     91870
     8925,     39955
    23315,    -19028
   101142,    -61870
    29276,      5126
   -46735,     26518
    68048,      5387
    39645,     16798
    80512,     31586
    23239,     40837
    92478,     18517
    49765,      2157
     9303,     67044
    69199,      9110
    18182,     50345
   -20306,     -6501
    14350,     44870
     1996,     61677
    36775,     25701
    28438,    -52128
   107659,    -24861
    90467,    -18345
  -108906,     92865
    55579,     78241
    31482,    -11905
   -48074,    -32718
     9571,     60775
