real, imaginary
        0,         0
   -10844,      9541
    -3995,     -4404
     4018,    -12543
   -37168,      4728
   -36248,   -141837
    -3732,     14611
    -4543,     -8377
      492,     15246
   -15183,    -12320
    14470,      5385
    -9320,     -6159
    17442,      3595
    13468,     20850
    -2152,      -981
     2988,     -7753
   -19518,    -15247
    16216,    -14826
    14021,      1708
      701,     -8412
     3164,     16495
     5766,     30026
    18055,    -14210
    27099,     -1448
     -715,     -3233
   -11694,    -10352
     8322,     -8370
   -11373,      7860
   -13386,     14647
    16251,     -9416
    -1360,     -3179
    16576,     15365
     -929,    -16083
    -9611,    -11148
     5272,     14457
      471,      7524
     7628,     -9456
    -1610,      8611
     7452,     -6687
    -8805,     11174
     8084,     -2053
    -2555,      5543
    -9699,     -1493
     -312,     -7083
    -1089,     -3322
     5804,     -3836
     -826,     -4801
    -4992,     -4127
     2635,     -7749
   -10686,     -1290
      720,      -834
     3587,     -5899
     -463,     -7985
     -911,     -2620
     1359,      3756
    -7557,     -2106
   -12238,      2261
     4213,      3281
    -3470,     -2768
      548,     -2337
    -7620,     -8577
     1796,     -6639
    -7689,      2621
     2788,      3995
    -9950,      7170
    -4630,      5849
    -6586,      3307
    -5399,       300
   -13919,      1489
     1838,     -2240
      -14,     -3082
      388,     -1930
    -7185,    -10517
     6492,     -5503
     7488,     -7837
    -4642,      2866
    -4245,       317
      798,      1453
    -3505,     -4855
      145,    -12646
    -5874,     -7820
     1746,     -4110
     1077,      1687
      540,      6943
    -1934,     -1976
     -961,     -1318
    -4213,      5923
    -3480,     -1807
      280,      5585
    -3326,      6286
    -4538,     -5809
    -5621,     -2356
     -162,       258
    -2366,      1076
    -2150,      2428
     7090,     10383
    -6519,      4822
    -1583,      3882
     -360,      7801
    -1254,     -6708
     2982,     -3186
     2722,      1133
     3291,     -1647
    -2430,      -718
      957,      -961
     2270,     -4341
    -2905,      2881
     2536,      3154
    -1781,      5335
    -3222,      4160
     3248,       510
      629,      -100
     3965,     -1613
     1037,     -2844
      817,      -400
     4293,      2676
     2132,      2198
    -1987,      2350
      363,     -2966
     3603,     -5135
     3201,     -4755
    -8646,     -4675
      212,      1397
    -1541,     -6862
      817,       989
     1410,      1046
     4478,     -3348
      456,        53
        0,         0
     1001,       273
    -5261,       157
     1358,       870
    -2463,      8167
     1630,     -1838
      364,      2753
     2398,      6984
      936,      3663
     3077,     -2259
     -243,     -1356
     1282,       808
    -3071,      -338
    -1815,     -3982
     -658,      1484
    -5853,     -2294
      781,      -740
       -9,     -1665
    -2401,       770
     -962,      1290
     3725,     -3429
    -1493,      3193
      551,     -2301
     3782,     -1269
     1245,      -759
     4186,     -3515
    -1933,     -1084
    -2682,      1197
     -372,      -149
     1289,      3518
     1059,      1118
    -3881,       517
    -2318,     -1408
     1803,      1120
     2539,      -539
    -1722,       735
      757,     -2261
     2210,      2265
      754,     -5315
     -869,     -4450
      661,     -1623
     3217,     -2467
     1390,       747
      -54,      9867
      836,      1852
     3187,     -2470
    -2837,     -1119
     2113,      2053
    -1454,       168
      850,     -1810
     1408,       502
      407,       -72
     -240,     -1205
     4704,      3190
    -7941,      3600
     -310,      4760
     4259,      2251
     -405,       777
    -1334,      2042
      -85,      3240
     2054,     -2244
     4121,     -3793
      560,       461
     5410,      4679
    -3704,      2136
     2572,      3404
      171,      4550
      491,      3105
    -4663,      1812
     1046,      2492
      771,       258
    -1059,       -41
     -285,      2911
    -1096,      -911
     1657,      -677
     2698,      2564
    -4430,     -1264
      764,      4809
      332,       789
    -1256,      -978
    -1480,       767
     1924,       707
     3199,      1054
     2906,      1745
     -424,      1432
     -666,       776
    -1712,      1688
    -1271,      1807
      255,     -2353
    -2112,       -28
     4144,     -3242
     -439,      2695
      397,      1389
    -1468,      -435
    -5627,      -753
    -3769,      2687
     -304,      2346
       71,       376
    -1531,       305
      708,      1850
     -763,       -89
      310,       133
     3615,      -552
      211,     -1091
      233,      -822
      903,      2687
      753,      -460
    -1418,      -345
     -281,      2319
     2288,     -1622
      -82,      1425
      652,     -1896
     -284,      2462
     4500,     -5276
     1150,       646
       14,       168
    -1820,     -1378
     1786,      5040
     -741,     -1263
    -2672,      1206
      853,     -1252
     1909,     -5863
     1662,     -2632
     1577,     -1461
    -2564,     -1398
    -1435,      1380
     2638,       294
      338,       718
