real, imaginary
  8747866,         0
    31207,   -438341
  -169661,    625735
  -792792,     38269
   272735,    901806
 -1727141,   3432703
   161308,   -615877
  1219795,   -103076
  1036122,  -1134624
  -553042,   1405511
  1260122,    625849
   -63766,   -314535
  -729309,    903041
   -34309,     12565
  -532598,    821990
  -591587,    533376
   311447,    131754
   -73339,     50813
    44301,    520843
  -694720,   -214813
  -204126,   -308875
    60298,    -70837
   243578,   -609671
  -253566,   -230152
     -173,    733451
   461626,    -65647
   -53012,    269297
   433290,    268785
  -302316,    335443
    64101,    -51709
   175807,    125994
   -81918,    244549
  -189764,    168681
  -432434,     91812
  -385548,    126707
  -175952,     77917
    64227,    -84680
   139257,     -2233
  -324093,   -153872
   268742,     95013
   123885,     20215
    12194,    -43588
  -344415,   -125155
    56681,    102980
    67326,    -32048
  -141462,    238781
   266478,    232965
  -243135,     66421
   -89354,     24208
    54482,     33681
   -36129,    -24714
   -23051,     56273
   -13879,   -313724
  -140565,    163760
   -59267,    279780
    -2931,     49318
  -146786,      8266
  -182767,     49949
   166375,     13099
   -78106,    -47884
    34361,    190216
  -171721,   -214828
   -54941,    -56535
  -110589,      1874
  -158985,    -34878
    51928,      9541
   119938,    -78994
    38284,     27255
    24682,    154640
    80499,    129599
   -32915,     65977
   -42713,   -223513
   -81956,    172372
   -38335,     70589
  -166903,     67227
   -97808,     31244
   -83173,     93006
  -109309,    -23614
  -167669,    -91260
    41670,     36535
    22672,   -256144
    77048,    -63652
    -2483,    -16219
  -113348,     14603
   -53633,     59737
   174294,    -80825
  -137421,     45633
     3746,    139550
    93342,     21791
   -49978,     73930
    -3182,      9657
   -68963,     32725
  -133386,   -100604
  -194684,     22256
    56910,   -124339
   -14118,     59716
   -50644,     22102
   -81173,    -41958
   -30683,     78921
    81024,    -24928
   -12620,    -99938
   -56150,    -58671
    -8948,      6348
   -61212,    -36127
    70685,      2622
  -175868,     54587
   -24703,      -585
   -44072,   -117827
    37025,     49757
    85548,     30918
    27798,    -50870
     -548,    -40122
  -103522,     55893
    13148,    -27300
   -63671,     62617
   -49069,    -37990
  -105850,    -31390
   -25795,     65021
    68339,     89118
  -138408,    -95277
   -59200,    -23184
    42923,   -128477
  -104676,   -133435
    57745,      6413
     7483,    -65947
    24456,    -20005
   -43762,    -32015
    66258,     90226
   -32819,     65469
    49392,    -30152
    53759,    -65082
   -55704,     49204
    -7490,     73996
   -75631,    -27684
  -110786,    -30492
   -90997,    -18158
   -34328,    -96988
   -24145,     47536
   -32159,    -77111
    67556,     -7147
    82867,    -98803
   -83165,     -6017
    -5726,     -7077
    27937,   -104777
    30395,    -12344
   -22654,    -44761
     6320,     74155
   -58673,     71760
    29613,    -12150
   -19659,    -60822
     3086,      9546
   -11835,    -21444
    -8899,   -125564
     1998,     34609
    44430,     12193
   -84466,    -90135
   -92730,     89615
    21985,    -47468
    -5301,      3210
    81639,    -47641
   -34973,     14138
   -60126,    -34435
    36568,    -35024
     1466,    -57541
   -75465,    -73583
   -11304,    -34521
    30767,    -64583
    33776,     13259
    45322,     37179
    95537,      8224
   -71734,     -7503
    34545,    -40338
    19080,     22215
    56986,     11777
   -85016,    -60378
   -67349,     30292
    -5783,     11113
   -88246,     35070
    16130,    -64733
   -44184,    -55412
     3800,    -80119
    90746,    -49533
    32635,    -57647
     1101,     21946
    18508,    -90453
    15006,    -66545
   -19338,     64821
    54822,     40115
    74936,    -32348
   -44302,     38331
    65637,     38273
   -59248,     -2419
    28051,     30926
   -57322,   -113334
   -29860,    -77315
    34224,     18020
   -29157,    -10137
   -23448,     -8980
    26480,      3456
    40152,    -48565
   -18434,    -20670
    32301,    -21216
    67740,     10280
    16769,   -113211
    15509,     13009
   -44005,     20339
   -37188,     24372
    28468,    -74991
    18213,    -24750
    63327,     28855
    -1148,    -28036
    82828,     41337
     2099,    -38494
    19744,    -10924
     7225,     -4140
   -45984,    -37285
   -50695,     40937
    97648,     -5388
    -6616,      4924
   -84178,     37498
     3608,    -25047
    29407,    -37112
    15015,    -97424
    48296,    -31585
    14019,    -91019
     1419,     48281
    69138,    -56153
    22097,     25594
    28245,     71215
    25927,    -54954
    25890,     24926
    78573,     72131
    58099,     15170
   -56823,    -20799
   -38267,      5156
   -75605,      6466
    43015,    -50360
   -35845,     -5706
    -2552,    -25365
    10776,    -32549
    76467,     13186
    39198,    -10827
     5364,    -10573
    59464,    -97554
    13279,      7340
    40849,    -27627
    27583,     69524
    27059,     38912
   -17465,    -22428
   -49291,     28419
    87470,     74771
    13296,    -44690
    -8615,    -42497
    82941,    -13491
   -28292,      2927
    15897,     24434
