real, imaginary
        0,         0
   -10597,     10054
    -4546,     -4376
     4002,    -13830
   -37007,      8612
   -55813,   -152853
    -3773,     15684
    -5789,     -8276
     2015,     16277
   -17791,    -12641
    15090,      4886
   -11396,     -5763
    19335,      3886
    18117,     21957
    -2152,      -981
     2689,     -9119
   -19518,    -15247
    15832,    -15528
    15331,      2125
       54,     -9326
     5797,     19165
     9996,     33885
    17735,    -15112
    30411,      -973
     -715,     -3233
   -13374,    -11845
     8377,     -9373
   -11683,      9158
   -12876,     15775
    16911,    -12499
    -1360,     -3179
    19535,     16150
     -929,    -16083
   -10999,    -10775
     7447,     16112
      536,      7866
     8891,    -10565
    -1868,      9299
     7569,     -7856
    -8633,     13255
     8084,     -2053
    -2555,      5543
   -10221,      -765
    -1039,     -7821
    -1089,     -3322
     6252,     -4434
    -1126,     -5188
    -5650,     -4852
     2635,     -7749
   -11905,      -509
      720,      -834
     3342,     -6825
     -463,     -7985
    -1069,     -3117
     1860,      3922
    -8668,     -1880
   -12238,      2261
     4252,      3270
    -3470,     -2768
      548,     -2337
    -8044,    -10398
     1443,     -7596
    -8333,      3370
     3360,      4184
    -9950,      7170
    -5544,      6054
    -7479,      3266
    -6041,      -181
   -15724,      2705
     1833,     -2275
      -14,     -3082
      388,     -1930
    -6944,    -11454
     7689,     -5784
     8828,     -7796
    -5571,      3430
    -4245,       317
      798,      1453
    -3510,     -4852
     1175,    -13983
    -5796,     -8296
     1932,     -4776
     1077,      1687
      338,      7571
    -1934,     -1976
     -750,     -1453
    -4865,      5884
    -3480,     -1807
      280,      5585
    -4271,      6616
    -4474,     -6783
    -6113,     -2482
     -162,       258
    -2367,      1080
    -2693,      2517
     6436,     11475
    -6519,      4822
    -2049,      4254
     -160,      8516
     -549,     -7639
     2982,     -3186
     2790,      1396
     3291,     -1647
    -2794,      -775
      957,      -961
     2481,     -4971
    -2905,      2881
     2582,      3857
    -2804,      6067
    -3952,      4348
     3355,       525
      639,        19
     3965,     -1613
     1425,     -3130
      817,      -400
     4477,      3653
     2132,      2198
    -2549,      2404
      363,     -2966
     4432,     -5509
     3201,     -4755
    -8534,     -6053
      212,      1397
     -897,     -7794
      808,       987
     1456,      1114
     4809,     -3207
      452,        31
        0,         0
     1048,         1
    -5264,       156
     1473,       913
    -1696,      8480
     1626,     -2167
      416,      2936
     3346,      7176
      936,      3663
     3279,     -2733
     -249,     -1360
     1597,       721
    -3071,      -338
    -2640,     -4250
     -658,      1484
    -6897,     -2035
      781,      -740
       -7,     -1663
    -2401,       770
    -1008,      1508
     4088,     -4490
    -1323,      3852
      551,     -2301
     4267,     -1321
     1245,      -759
     4753,     -3998
    -1933,     -1084
    -2753,      1427
     -372,      -149
     1828,      3762
     1059,      1118
    -4321,       813
    -2318,     -1408
     1926,       966
     2897,      -857
    -1722,       735
      757,     -2261
     2336,      2430
      404,     -5925
    -1427,     -4824
      661,     -1623
     3236,     -2612
     1390,       747
      938,     10944
      836,      1852
     3448,     -2820
    -2837,     -1119
     2381,      2387
    -1454,       168
      850,     -1810
     1408,       502
      308,       275
     -240,     -1205
     5669,      3792
    -8252,      4664
      -56,      5363
     4259,      2251
     -405,       777
    -1334,      2042
      -85,      3240
     2054,     -2244
     4264,     -4561
      560,       461
     6355,      4706
    -3705,      2134
     2564,      3906
      -47,      5061
      364,      3501
    -4663,      1812
     1046,      2492
      771,       258
     -933,      -498
     -285,      2911
    -1185,     -1038
     1657,      -677
     3217,      3096
    -4430,     -1264
      324,      5293
      332,       789
    -1252,      -976
    -1480,       767
     2270,       777
     3199,      1054
     3157,      2047
     -424,      1432
     -666,       776
    -1712,      1688
    -1271,      1807
      255,     -2353
    -2117,       -34
     4807,     -3204
     -452,      2810
      397,      1389
    -1468,      -435
    -6337,     -1449
    -4170,      2455
     -304,      2346
      221,       315
    -1531,       305
      515,      2185
     -763,       -89
      223,       248
     3615,      -552
      204,     -1089
      233,      -822
     1034,      2974
      753,      -460
    -1610,      -515
     -281,      2319
     2666,     -1631
      -82,      1425
      718,     -1878
     -284,      2462
     5601,     -5625
     1150,       646
     -169,       -13
    -1820,     -1378
     1362,      5904
     -741,     -1263
    -3097,      1186
      853,     -1252
     2772,     -5930
     1662,     -2632
     1907,     -1476
    -2549,     -1476
    -1628,      1485
     2647,       282
      -94,       804
