real, imaginary
  7807598,         0
  1053222,   -246760
   760686,    247396
 -1235612,   -363884
  -266499,    -49245
  1377851,   2972885
  -117502,     -1343
  -462752,    729246
   466697,  -1755336
  1313056,   -306529
   841442,   -926867
   561927,      -389
   585899,   -300598
   394934,   -284053
   -20759,    485500
   316299,   -607486
  -397702,    219706
   455838,   1038363
   602515,   -259761
  -210401,    139628
   349559,   -587406
    42374,    387195
  -544285,    513604
   304992,    317885
  -712300,   -535534
  -731398,    -74942
  -392965,    296546
  -302899,   -158805
   224359,    182537
    98873,   -142778
  -694053,   -160852
    10359,    303375
    78061,   -229668
   283751,     70526
  -160587,   -263608
  -455426,   -142179
    45620,    -22612
   172496,    155678
   134323,     80665
   403423,    107353
  -135003,    146443
   237011,    181462
   -82914,     70419
     5114,   -374821
   196404,     44680
    49749,    -59141
   -99318,   -183728
    67682,    184915
    93057,   -369361
   179926,    217606
   -26493,     17322
   104061,   -226215
  -102931,    200866
   177318,   -163230
   167039,    -96958
   154642,   -224982
    88714,    -37077
   -23067,    176030
  -333201,     73444
    52709,    144135
  -108913,     15541
  -109810,    145781
    -5351,    155818
  -107308,   -104116
  -104493,      4334
   -36163,     71623
  -204336,    -36647
    60580,     31062
  -191248,    128064
  -152662,   -154940
  -238591,    128912
    71223,   -193054
   138850,    -77806
   -33124,     93546
    42648,    -77089
   118848,    206739
   175356,    -62068
   161982,   -155630
  -120505,    -40389
   -12338,   -144606
   -55124,    307618
   136953,    -64728
    67821,   -104311
    69232,      8127
    97539,     54183
      872,    103777
    -5966,     -2373
    66675,   -250211
  -147017,    -66851
     2415,     19393
   127219,    -97128
    -7186,    -20887
    77416,      8146
   -73132,   -114145
  -154689,    145873
   199612,     17010
   -70448,    161996
    -2924,    -10736
    43226,    -28288
   -82734,    -93069
    32860,     42065
  -126287,    130611
   -59657,     65820
   -63791,    137819
  -131182,     88694
   -57891,    -22646
   -44181,     62240
    62152,    -93852
   -16140,     37902
  -106769,   -114760
     4357,     19000
    97921,    -22041
    52871,     -2858
    -8316,    -32866
   -12992,   -100293
   -61560,    -16964
   107819,     17818
    68983,    -49048
   147604,     23788
   130621,     28894
    59685,     30381
    -4937,   -147700
   -71488,    -18278
    -6729,    -29069
   -49600,     89299
   -20015,     16657
    94633,    -91432
   -91468,    -25562
    65442,     65380
    20069,    -21907
    -1802,    -23365
   -55112,     21719
   -86804,    -16687
   -64821,       884
   148976,     30342
    61701,   -129976
  -134724,    101269
   -69465,     58257
   -32764,    131174
    16561,    161489
   117979,      1689
  -122666,      4728
    32801,      2861
   -72979,     24233
   -37570,    -21995
    -8099,    -49472
   -42102,     49560
    -7594,     68486
   -31125,     57479
   -39248,    -83063
    86585,    -82295
   -19249,    -96812
    18611,    -38612
    49193,    -13108
    73569,    -51429
    63356,     25666
   120492,   -118563
   -91778,    -97337
    45128,     51645
   -56854,     32529
   -32024,     29959
   109225,     -3734
    48360,    -61537
    51567,     34429
     1987,     50834
   -39748,    -78404
   -43508,     -7368
  -163934,     27111
    16136,    -25552
   -60651,     85572
    94777,    -30784
   -27903,     10722
   -81108,    -17695
    55498,     24608
    20680,     75542
   -31997,     37170
     -711,     73442
   -16328,    -15683
    38448,    -44647
    -4180,     24423
   -60246,    -64510
   -53220,    156790
    43825,    129956
   -16439,     29605
    54274,    -34829
   -46794,    -74682
    13978,    -15072
   -15703,       330
   -51722,   -141801
    35117,    -39218
   -53320,    -38420
    44672,     37127
    91827,      -870
    -9274,   -123459
     7863,    -37973
   -86284,    -18205
    58875,    -92482
    96151,    110946
   123351,    -88377
   -14540,    -13614
   -62520,     13682
    25317,    -64054
  -114026,    109419
    -8381,     80839
   -15521,    -21228
   -40877,     92115
    57637,    -33494
   -14645,      8884
    10096,    -17481
    17744,     14627
   -89788,     35475
  -116913,     49786
    18834,     16821
    48451,     28560
    48226,    -42163
     7917,      9418
   -81315,     -3555
    73672,     89941
     6249,     76875
    83346,    -10985
    19545,    -24629
   -54046,     23192
    10233,    -48507
  -108244,    -38158
     3906,    -69431
    19035,     57671
   -47353,     54068
    83882,     17158
   -19484,    -85653
    17269,   -106526
   -55372,    -51513
    10396,    -64846
     2143,    -83095
     3986,     18849
    18444,    -38185
    26899,     -6036
    74891,    -10263
    27429,    -10553
  -103064,     30394
   -47737,     90653
    63848,     15605
    78912,     17596
    11943,     -5734
    34882,    -30917
  -140195,     54929
    21387,    100594
   -78873,      1268
   -72018,     42980
    50999,     58269
   -21017,     45110
    37281,     21148
    41092,    -79988
   -17924,    -71113
    24015,     50599
   -47476,     46007
    43062,     50377
