real, imaginary
  7934385,         0
   473056,   -562931
   -45133,   -476817
   402663,   -491113
   740648,  -2973691
   -60365,    888592
  -693185,    -46565
   790594,   1480954
 -1188731,    831076
   576455,   -592405
    91485,  -1839060
    51572,    556659
   384281,    331229
  -696929,  -1260986
    83322,   -760610
   414310,    -17791
   -97148,   -305283
  1195519,  -1338952
  -214011,   -891667
   439087,    187108
    35769,    -33005
    32178,   -354250
   -44303,    -18766
   184357,    144017
   469152,    -87195
  -311901,    332586
  -219687,    472559
  -110785,   -176451
  -480230,    451882
   149676,     50706
    -5514,    453501
   441559,    -87704
  -187153,   -260617
  -143978,    100333
   514569,     40928
   -40001,   -186663
   111866,   -285492
   472699,   -170808
   460157,    184147
     8896,   -296237
   -90467,   -289111
    55115,   -430701
   111368,    192163
   -54960,    -92876
    61737,   -157251
   -34388,     34938
   -56718,   -162305
  -129950,      -417
    68709,    -57316
   -69229,    -86571
    73455,    243412
   171216,    171988
   160703,    163123
   -53458,     93076
   265547,    -75164
   -53996,    104127
   136657,    189372
   152547,    221043
   -48270,    107304
   -47943,    -53904
    12462,    -80188
   163284,     45160
   -33257,   -181293
  -279906,   -136146
   121969,     -3710
   117144,    178317
   -23390,   -290407
   -49233,   -140488
   235751,    -34168
   148063,    -19788
   -59941,     98061
    86232,     17775
     8634,     94690
   168965,     69361
    68818,    -90985
    93796,    256323
    38846,   -134425
  -139096,     83793
   -63360,    143002
    63003,     46121
   -26070,    -45801
   -12628,    -55360
   -15454,    143284
    74121,    -32592
   -87244,     38666
   -97133,    100085
  -126246,     -5265
   269730,    135870
    60017,     54938
   -64886,    123940
   -38112,     -9061
    37253,    -40487
    34049,    200413
     2518,    -96806
    33718,    -16552
   146629,     26639
    52536,    -29235
    18367,   -116149
   -45094,    -65708
    59025,    -83719
    33051,     32151
   113820,     -2583
    22446,     95959
   -70663,    -18906
   -12665,     17300
  -110649,     84970
    -7698,    117093
   -47010,     77327
  -163005,    161248
   -73324,    157125
    62296,     60666
   -95893,    -68617
  -122555,    138870
   -17998,    -37947
   141571,     56364
    18657,     90073
   -76840,    -34816
    77524,     -3990
   192847,   -153167
   -32145,     12092
    37056,     32151
    -9363,    -56700
    23309,     62328
   -60171,       862
    72179,    -12678
   -52692,    -72974
   -91289,    -17217
   -12262,     90513
   -65610,       -61
   -57396,     74329
   -94308,    -41711
      765,    101956
   130334,     -5222
  -103495,     -9345
     -817,    133958
   -92234,     82711
   -32965,     18367
    97017,     48964
   -39570,     23367
   -43335,     84890
   -69113,    -55127
    35044,      8271
  -121768,     17456
  -127949,    -11416
    35138,    -85656
    47296,     13651
     6087,    -52054
   -65799,    -31394
   -41034,    -31077
    52258,    -37068
   -37191,       966
   131620,     36315
    21569,     21258
   -23523,     16338
    32201,     46378
    11065,    -25361
   -94917,    -26777
   -28880,     54250
   -43146,     46825
    46705,      4149
  -100114,    -69909
  -121826,      5496
   -64163,     33421
   -41151,   -172194
   -29147,     30522
   -58502,     90461
   -52349,     24519
    -3603,    -89095
   -15015,     14969
    17034,     25949
   -88652,      1865
    34403,      9425
    24851,     78352
   -10262,     26814
    58730,    -62267
   -81924,    -65289
   103479,       280
    35062,   -125731
   -30493,      2083
     8598,    -13647
   -15237,    -39137
    71520,   -100785
      438,    -59486
   -40040,    -38019
     6485,     23336
   -98057,     44836
   -18708,    -31907
   -94232,     42128
    -3684,     50464
   -94401,      5015
   -15550,    -14481
   -27125,    -20921
  -145601,    111983
   -52970,     -9452
    43923,   -106917
    25568,     19693
    70883,    -40386
   -13733,    -33290
    43078,    -79711
    31209,     -2400
    25989,    -58039
    60025,    -31425
    40249,     -4296
    38647,    -11326
    65439,    -53160
   -76710,    -42423
   -80732,      5312
    25551,     31472
    11839,    -90193
   -31164,     20217
   -28324,     29759
    43941,      -939
   -83356,    -66725
   -16597,    -60662
    27407,     12647
    22715,     87292
      626,    -53073
    -8745,     -8579
    66380,      7135
   -40596,    -34986
  -111281,    -13017
   104992,    -43055
   -38315,     23103
   -15541,      2675
   -44414,    -13958
    33135,    -41490
    12455,   -102049
    -5913,    -32348
    28231,      3216
    44503,     44557
    63934,    -14783
    56467,    -65441
    44564,     65078
    89047,    -79992
    30610,     54863
    67685,     -2833
   -32423,       -50
    15299,     83424
    41372,    -24458
   -42892,    -68099
    -6035,    -66849
    -8582,     -3541
   -61436,     66138
  -100560,   -105057
      236,    -22723
     8884,    -30598
    11439,     14297
   -28185,    -56838
    25340,      5748
    24530,     45721
   -40507,      -783
    12439,     68705
   128978,     36715
    52269,    -56971
    53515,     48257
     6707,     50831
