real, imaginary
  8614552,         0
   193988,     79966
   106166,    292824
   261780,   1091448
   658697,   -304453
  1799421,   2152658
   759334,   -784274
 -1853110,    488495
 -1351842,    698320
   617842,   -579292
   227103,     76730
   545315,   -100708
    35669,   -550870
  1230247,   -457096
  -688955,    -92161
  -219615,   -626306
  -145472,   -268365
  -379302,   -154960
   -86561,   -431326
  -228109,    191943
 -1929161,   -236091
   387232,   -258099
   -41916,    -86147
   341252,    235926
  -292931,     36214
   266523,   -224856
   136074,   -150394
  -886440,    -41876
  -107524,   -626427
   119236,    353988
  -706786,   -100020
   -51384,   -250759
  -330097,   -155056
  -278668,     99838
   420680,    245490
   -60215,    -73289
   388772,     89932
   -17788,    -65265
   326611,   -126650
  -185489,   -397846
  -266129,    -37784
  -118439,   -361509
   180305,   -312952
   125805,   -231306
   -60351,    191969
  -381394,   -460114
   119887,     23695
   243710,   -266334
    49113,    188724
  -114105,   -179384
   -33471,   -103745
   -40569,   -301391
  -294580,   -345075
    10462,   -126353
   186872,      1147
    57491,    -79409
  -208645,     46945
   -60136,   -307645
   164257,    -64210
   -34390,    317567
  -220451,   -132892
    33396,    -71931
    88620,     31551
  -116962,    -16269
   170332,   -212622
   -81614,    143325
    91647,     57463
   308050,    -98720
   225800,    -56532
     -423,    203922
  -160171,   -177353
     9576,   -273123
   173610,     -2411
  -148830,     24831
   128635,    -94623
   -41999,     83539
   -28809,   -176604
   118242,     -6201
   -31821,    -13913
   342580,    144105
    17607,     44903
  -260404,   -138749
    40261,   -258299
    16888,    -72186
   -58744,    -50360
  -209377,    102269
   -82059,   -105373
    88336,     96382
   -54625,     18871
    -1689,    151175
   -53427,     66498
   -31245,    118811
   153228,     59590
   -27288,   -113280
   -18434,     42305
   -90490,    -42087
   -41187,   -123849
    24508,    -43255
    20299,    162142
    18943,    137560
   -79687,      -423
    32822,    -46096
  -113714,    146123
    47502,   -206554
   116038,    189277
   -16985,      5627
  -227635,   -195081
   117100,   -166491
    11120,    -23788
    26113,      8682
  -199559,     55120
    -7943,      6903
   -61810,    -31926
   -23631,   -125017
  -161569,      8282
   -69644,     15841
  -127334,   -108088
    29987,     50080
   -65914,    -33767
   -78841,    -47505
    41899,     46089
  -114084,     25606
    -1838,    -45573
   -52860,     94624
   -13872,      6082
   -22553,    -85056
  -137760,   -107578
   -91659,   -104887
   131220,     32902
  -114662,     14274
    50834,     93536
  -108065,    -38889
    64772,    -53655
    62034,    -16436
    20600,     19512
   -46649,    -24309
   -39779,    -75792
    56038,   -192341
    39765,   -126549
  -148850,   -136201
    30757,     15053
   -54270,    -17910
   -67016,      2545
   -37683,     26682
    12164,    -44865
   -26781,      -996
     2138,   -101084
   -11729,     23188
   -52540,    -73848
    47680,   -127096
    75114,     19594
  -175365,   -115395
    -7272,    -63816
    43136,    131793
   -60008,     38180
  -107092,     72512
    18106,    -47345
   100786,     -1840
   -20126,     -9003
    45672,    -63389
    49415,     78767
    23705,    -28175
    40935,    -72203
    91053,      5223
   -75074,    -62230
    36093,     82669
   -26788,     -9345
     5885,    -23752
   -48518,    -13914
    58155,    -44136
    41328,   -137552
    54733,     59043
  -123525,      5175
    50179,     32369
    13807,    -43568
   -21115,     56444
   -15921,    -48794
   -74203,     -4557
    27949,     14341
   -51942,     38984
   -91914,    -75159
    22670,    -14242
    50042,     -1152
   -47720,     34684
  -113685,     88389
   -56275,     30572
    96120,    147095
  -105354,     13789
      -23,     19621
    73725,    -48721
   -20690,     85142
    -6049,    -54813
    32845,    -20254
    -1548,     17434
   -75395,      3677
    69614,   -119265
   -63311,    154761
  -141566,     23216
   -36463,     80413
    43166,    -66085
   -17826,     -9231
    17414,      2707
    19248,    -97885
    15330,     27523
  -116828,    -13371
   -29633,   -103762
   -25613,     10327
   -36330,    -31430
   -94727,     61365
  -223636,     -6026
   -20424,    -42363
    27153,    104478
   -35190,    -51344
   -46258,     -2523
    41059,     14043
   -25337,    -40892
   -38373,     45209
   -82868,     11328
   -17261,      2416
   -45852,     -7200
   -27856,    -57359
   -39946,      4888
   -23941,     23782
   -62258,     37214
    58561,    -75167
    29814,    -49271
    17567,     25664
    13127,     28523
   -49218,    -63471
   -74634,     52586
   -47830,    -84160
    67992,    -84985
   101723,    -21534
  -147810,     25203
   -32735,   -147401
    13338,    -44155
    27729,       908
   -26576,     -8698
   -51577,    -37651
   -78663,     49696
   -26319,    -61646
   -60135,     -1538
   -31583,     63498
    11958,    -32197
    71137,    -15188
    -2169,    -76065
    -1157,     19749
    12729,     -1774
   -51227,     14964
   -27002,     27421
   -53843,    -60591
    66602,     21955
   -68762,    113616
    22010,    -43975
   -81325,     61922
   100930,    -50647
