real, imaginary
 13252221,         0
  -159577,    187522
   -86808,    150350
  -352636,    299163
  -375358,    200067
  -487952,    357385
 -1342627,   1170315
   443235,   -571601
    56220,   -246368
    23525,     -8991
    -2866,    144805
  -243234,    336625
  -580973,    985319
  1135111,  -1665124
   186227,   -545778
   -25136,   -222028
   -24333,   -391118
   103896,   -338485
    -9923,   -207949
 -1013150,  -1855302
    65731,   -140813
    53186,    -63510
  -127557,    -22159
  -244554,   -217922
  -149628,   -256834
  -420859,   -960843
   -65207,     95446
   -68327,    -16233
     6809,    -68848
  -116877,    -28425
  -225200,     94700
  -497010,      3527
   966120,    -22714
   212197,    -36602
    61773,    -44600
   -45827,   -187417
   176493,   -168815
    35310,   -180826
  -313982,    -10121
   201260,     86222
   189119,     -7562
   -12707,    164236
    18389,      6696
   115747,    -62850
   320370,     21275
  -168836,    -91361
   -47427,    -90904
    27511,     15463
    58917,     51872
   -68222,    162726
   -76398,    380042
   470776,   -421916
    -3994,   -166965
   -23510,       671
   -38814,   -164654
    58783,   -156636
    18998,    -26086
  -783562,   -316768
    37412,      8829
    62944,     40806
   -56371,    102749
  -146407,    -22609
   -71975,    -41892
  -198162,   -295796
  -196470,     25047
   -28740,      9662
   -28027,    -14833
  -121126,     33544
  -121920,    150114
  -326764,    111530
   539391,   -199914
    41170,    -65337
    17271,    -58961
  -104255,    -97293
    62361,   -142231
   -53518,   -117897
  -237130,    -30933
   174758,    -10671
    71014,    -65690
   -14801,     82419
    18169,    -55500
     5246,   -117086
   239085,   -114564
  -139180,    -32713
       40,    -95780
    22829,     21174
    36232,    -26799
    18581,     53475
    46865,    147040
   237973,   -259172
   -87261,    -96360
    61933,      1559
   -21031,    -93377
    10048,   -110919
    83438,    -20547
  -473753,    -20767
    49563,      3811
    39570,     37063
      329,     61864
   -70657,      4040
   -48820,     24516
  -156485,    -12667
  -116124,     57520
    73727,      5553
   -15867,     42943
   -94680,     49740
     5931,    118682
  -202233,    136814
   229784,   -178773
   -29301,    -17874
    49742,    -42438
  -103304,     31258
   -11430,    -49822
   -43647,    -38692
  -144266,    -83435
   108833,    -56818
   -47741,    -43431
   -28364,     53276
    -8290,    -64203
  -111015,    -53480
    84693,    -87805
   -48880,    -20077
    18985,   -104757
    -3611,     52571
   -29463,    -84919
    21515,    -43499
    27821,    -28828
    45268,   -154494
  -131028,    -32693
    99239,    -45200
   -37215,    -30923
   -39803,    -65980
   103812,    -80445
  -230116,    -14481
     6253,    -18690
    -6354,     19599
     5168,    -20396
   -37882,     -4864
   -49833,     56955
   -80193,    133794
     2962,     29615
   133310,    -59244
    15074,     70684
   -56371,     25967
    96659,     25525
   -95475,    108471
    42650,    -85695
   -22410,      7662
    84187,    -69286
   -37181,    129711
     2013,     10777
    11811,     -3526
   -80936,   -135156
    33415,    -55122
   -95025,      9967
   -21643,     32998
   -22471,    -29573
  -152322,     62662
    -5149,      3288
    26650,    -45126
     6701,    -95466
     6979,    109172
   -79232,    -86054
   -13415,    -73421
   -47540,    -85871
   -69463,    -30507
  -127180,     19173
    86737,    -74456
   -43948,     32615
   -75611,    -22893
    60627,   -120771
  -110466,    -62368
   -64850,      8204
   -32270,     11349
   -37493,    -72013
   -47275,      3994
   -56060,     59218
    -5343,    179330
    63229,    -35594
    99321,   -116937
    33114,     56658
   -43587,    -16537
   102972,    -52699
   -22232,     52809
   -40020,     -5574
     6696,    -25129
    73280,    -99376
    39464,    144761
    32389,     -8804
    47386,    -18015
   -66994,   -154006
   -15899,    -27136
   -61486,     22850
     3440,     20916
    -8373,      -369
  -106870,    113744
   -27321,     55163
    65424,    -86572
   -18093,    -56766
    64558,    115413
   -93440,    -61561
   -31873,    -21248
   -85789,    -69982
   -79823,     44088
   -79427,     49583
    54799,    -59973
   -31782,     81516
   -84134,      8855
   -26261,    -92447
   -69677,    -57890
   -88724,     74104
   -15266,      4886
   -79794,    -37626
   -58812,     48255
   -63208,     42268
    41559,    144728
    49205,    -55159
    11526,   -107399
    36637,     30175
   -63250,    -18090
    55234,    -63608
    24014,    -10877
   -65885,     16970
     -896,    -72609
     4900,    -97450
    64966,     92539
    17541,    -75462
    25974,    -23931
   -83661,   -103388
   -43800,    -19128
   -17330,    -21512
    23313,     18587
     3827,     -8959
   -46499,     68758
   -32358,     60283
    47336,    -97748
   -45747,    -12320
   122306,     51528
   -74949,    -26315
    -2342,     54048
   -67158,    -52430
   -37389,     18324
   -21039,     37859
    29867,    -26897
   -12414,     72872
   -72408,     21486
   -78077,      2176
   -29775,     -9164
   -44020,    110199
    33694,    -27667
   -61900,     43111
   -38587,     80987
   -60187,      6205
    46229,     77478
    31960,     -2741
   -54605,    -38354
