real, imaginary
        0,         0
    10796,     -9366
    -3944,     -4397
    -4049,     12419
   -37163,      4205
    33866,    140363
    -3724,     14500
     4374,      8387
      312,     15111
    14859,     12292
    14399,      5455
     9047,      6210
    17193,      3559
   -12921,    -20666
    -2152,      -981
    -3004,      7602
   -19518,    -15247
   -16268,     14728
    13866,      1650
     -787,      8297
     2879,     16158
    -5280,    -29534
    18095,    -14089
   -26681,      1500
     -715,     -3233
    11507,     10170
     8295,     -8255
    11342,     -7698
   -13448,     14482
   -16155,      9050
    -1360,     -3179
   -16231,    -15219
     -929,    -16083
     9409,     11179
     5016,     14249
     -458,     -7471
     7485,     -9321
     1562,     -8543
     7412,     -6534
     8832,    -10924
     8084,     -2053
     2548,     -5542
    -9625,     -1574
      222,      6966
    -1089,     -3322
    -5746,      3784
     -794,     -4746
     4921,      4042
     2635,     -7749
    10521,      1367
      720,      -834
    -3606,      5776
     -463,     -7985
      878,      2563
     1299,      3728
     7429,      2125
   -12238,      2261
    -4215,     -3278
    -3470,     -2768
     -553,      2338
    -7535,     -8344
    -1834,      6515
    -7592,      2537
    -2712,     -3969
    -9950,      7170
     4531,     -5826
    -6485,      3306
     5317,      -353
   -13683,      1335
    -1841,      2241
      -14,     -3082
     -389,      1932
    -7185,    -10517
    -6357,      5460
     7295,     -7834
     4560,     -2810
    -4245,       317
     -799,     -1453
    -3504,     -4850
      -33,     12474
    -5874,     -7820
    -1744,      4024
     1077,      1687
     -570,     -6881
    -1934,     -1976
      986,      1297
    -4134,      5935
     3475,      1808
      280,      5585
     3191,     -6256
    -4533,     -5694
     5567,      2342
     -162,       258
     2360,     -1079
    -2091,      2395
    -7156,    -10228
    -6519,      4822
     1523,     -3855
     -391,      7697
     1332,      6594
     2982,     -3186
    -2723,     -1135
     3291,     -1647
     2361,       709
      957,      -961
    -2261,      4282
    -2905,      2881
    -2535,     -3079
    -1681,      5239
     3146,     -4128
     3248,       510
     -626,       115
     3965,     -1613
     -994,      2801
      818,      -397
    -4241,     -2567
     2132,      2198
     1905,     -2365
      368,     -2965
    -3507,      5087
     3201,     -4755
     8656,      4506
      212,      1397
     1611,      6741
      809,       989
    -1412,     -1047
     4437,     -3352
     -458,       -52
        0,         0
     -991,      -306
    -5264,       159
    -1333,      -851
    -2475,      8159
    -1645,      1787
      351,      2734
    -2279,     -6957
      936,      3663
    -3038,      2184
     -243,     -1356
    -1260,      -796
    -3071,      -338
     1717,      3943
     -658,      1484
     5722,      2311
      781,      -740
        8,      1664
    -2401,       770
      964,     -1266
     3691,     -3303
     1507,     -3107
      555,     -2305
    -3740,      1241
     1245,      -759
    -4129,      3448
    -1933,     -1084
     2679,     -1164
     -372,      -149
    -1201,     -3490
     1059,      1118
     3838,      -484
    -2318,     -1408
    -1784,     -1132
     2487,      -505
     1729,      -738
      757,     -2261
    -2212,     -2265
      788,     -5237
      791,      4396
      661,     -1623
    -3211,      2466
     1390,       747
      166,     -9725
      836,      1852
    -3172,      2428
    -2837,     -1119
    -2074,     -2016
    -1454,       168
     -851,      1811
     1408,       502
     -400,       117
     -240,     -1205
    -4592,     -3119
    -7890,      3479
      327,     -4688
     4259,      2251
      400,      -777
    -1334,      2042
       79,     -3239
     2054,     -2244
    -4093,      3697
      560,       461
    -5301,     -4639
    -3706,      2136
    -2561,     -3334
      200,      4465
     -517,     -3041
    -4663,      1812
    -1044,     -2490
      771,       258
     1057,       -19
     -285,      2911
     1094,       919
     1661,      -684
    -2652,     -2507
    -4430,     -1264
     -810,     -4734
      334,       791
     1248,       976
    -1480,       767
    -1872,      -712
     3199,      1054
    -2858,     -1714
     -424,      1432
      667,      -782
    -1712,      1688
     1261,     -1809
      255,     -2353
     2113,        27
     4046,     -3240
      433,     -2696
      397,      1389
     1459,       427
    -5533,      -666
     3705,     -2698
     -304,      2346
      -56,      -380
    -1531,       305
     -728,     -1802
     -763,       -89
     -315,      -114
     3615,      -552
     -208,      1089
      233,      -822
     -872,     -2643
      753,      -460
     1416,       349
     -281,      2319
    -2249,      1622
      -82,      1425
     -639,      1901
     -284,      2462
    -4382,      5235
     1150,       646
      -52,      -160
    -1820,     -1378
    -1832,     -4942
     -741,     -1263
     2607,     -1189
      853,     -1252
    -1801,      5859
     1662,     -2632
    -1561,      1461
    -2564,     -1398
     1424,     -1381
     2637,       293
     -373,      -703
