real, imaginary
  8515093,         0
   418113,    407452
    60004,   -693430
   469691,    357476
  -537235,   -594831
 -3958476,  -2368116
   503619,     48360
  -311620,     19984
   626652,   -325514
  -804654,     38415
   223232,   -255068
  -215657,   -227777
  -518087,   -107371
   -99979,   -396232
   -98146,    630780
  -199795,    796015
   -52684,   -150414
    38208,   -306750
  -383638,   -174489
   442642,    506151
  -366735,   -151173
   161543,    317517
  -140487,    499478
    89211,     88184
   165191,    -34352
   289971,    142703
  -177778,     38548
  -425779,    437868
    86064,     70263
    25874,   -272523
   -67073,    250547
   173951,   -237578
   386527,    -81848
  -195808,   -141871
   158375,    -17644
  -106665,   -224978
   376673,    140267
   444418,     35985
   -36345,    -28291
    64606,     18748
   159913,     40738
   -94406,   -103724
   -80089,    -30857
    58177,    198215
   -25949,      8766
   -16745,    171434
  -253465,   -407433
   -32345,    -82739
  -141051,    -75516
   -81663,    -65868
   -76596,   -152857
   -86074,    -51001
    33844,   -106289
   106797,   -178911
   103149,   -257801
    51627,     51570
     -725,    274485
     7956,    -70845
    57709,    276667
    38049,     38243
   -55746,    216120
  -137419,    136186
   -70389,     76740
  -366863,     22934
  -293122,    123191
    90786,   -139912
   -54873,   -108318
   -20097,    -11583
    99531,   -191433
   -25620,    -72452
   220508,    -46458
   152908,     59352
    72730,     14705
   291801,    372049
   119192,     36162
  -145683,     91203
     1437,     88347
   -48467,     33642
   -83352,     91853
   -62985,     31799
   -60374,   -129843
    10036,    -36413
    42390,   -118741
    95399,   -306056
    14642,     63924
   113461,    -15909
    11855,     90294
    65077,    -75269
    56097,    -18157
     6447,     40482
   -36428,    -15938
   -30997,    -91269
  -145208,     33129
   -55600,    -43499
    26020,    -98087
    63618,    -32385
   135320,    -90039
  -157353,     72736
    47397,     -4758
     5220,     27141
  -111081,     44057
   -35861,    154386
    21280,      1429
  -155674,     34679
   -61358,     -5437
  -172752,   -162592
   -72478,    -30068
   144246,     28199
   -45716,    -92978
    58306,     24810
   117419,     66008
   114047,    -86902
   -34713,    127963
   109170,     60694
   -49516,    147476
   -28040,    225179
   -34589,    -23243
   -60246,    -49006
   -45725,     54590
    22029,    -75422
   -54276,    -72677
   -30262,    -20633
   116590,    -31098
     -622,    -18826
   227109,    -74323
    61095,      1768
    17443,     76269
   -11135,     44007
      -83,        70
   -36794,     17633
    11704,     27065
   -49694,    -29818
    45159,    -59548
   -38642,    -90496
  -135414,    -87350
   116961,    -33473
    25123,    -65678
    76683,     47267
     3141,     29809
    13712,    -40157
   -26555,     49494
     4576,      5954
  -142940,    -47584
   -28436,    145149
    -8993,      5042
  -115980,    -80611
   -49049,    -11170
    24324,   -123839
    -7180,      6576
   -47034,     17942
    74109,    -36217
   -75054,     52921
    99078,     89072
    52948,    -79412
   -21093,     48759
     9662,     90580
   -30132,     60442
   -82997,     15041
    58381,     26603
      279,     35631
   -13852,     20691
    83739,     27526
   -76085,    -58779
   -25295,     65062
   -26115,    -16232
    63450,     -9888
    43100,      2255
    -7622,      9776
    -7968,    -69268
    65268,    -34590
     8871,    -88216
    30660,      6095
    80588,     30019
    75794,     -7490
    59819,     80864
   -18897,    -80082
    10906,     33925
     2703,     56042
   -25422,     23596
  -129911,      1010
   -41611,     51065
   -12752,   -106636
   -77713,    -56284
    -1163,   -117647
     1452,    -82428
   -56569,     29877
    60735,    -66433
    37215,    -53899
    25350,      6025
   117309,     91455
   -19899,    -38596
   -45048,     88064
   -24931,     57435
  -103500,     58077
    -7438,     23222
    13995,     29797
   -78700,    -16992
   -56464,     36730
   -19078,    -54371
    -8037,    -71587
   -17381,     76313
    35587,    -20679
    58487,     59429
    28716,     -5275
   -23149,      4561
     1006,    -23085
    24844,     31876
    47261,     13904
   -31291,     52776
    21661,    -23512
    65656,     15600
    37893,    -26276
    30399,    -60006
    -2627,     75007
    54498,     29486
   -22469,     57801
   -18587,    -24949
    24857,     -1719
     5917,    -14651
   -59901,      4073
    -2947,    -86945
   -95316,    -27561
     5949,    -20712
    62723,    -72142
    19185,    -94285
    76758,     -5270
     1358,     14304
     1488,    -60817
    14579,     46633
    29390,      6533
   -44381,     82602
    30053,     55100
   -46596,    -12570
   -81657,     -5851
  -116759,     15447
    -2741,    -59213
   -28117,     11472
   -49092,     11262
    10242,    -31762
   -16527,    -24961
    66824,    -50615
   -15441,      3687
     8973,      8534
    21376,     90907
    47814,     65074
   -54001,      2433
    35596,     23830
     8117,     34074
     8721,      9449
   -65452,     35126
   -32739,       219
    29574,     19142
    -9316,      7076
    89485,    -65997
     3070,    -10088
    26748,     31831
