real, imaginary
  8051365,         0
  -327368,     72641
  -388320,      3154
  1037501,    807091
   120637,    380701
  4494062,   -815761
  -166542,    471693
  -668813,   1163761
   344051,   -128513
   279785,   -197797
   445749,    281508
    61141,   -181800
   259759,   -116073
  -916952,   -264017
   -22004,   -251617
  -590657,    175450
   121466,   -415539
   184990,   -983317
  -168838,    102074
   -28782,    332746
  -478471,   -331358
   139277,     77419
    40667,    104130
   467627,    -45136
  -165077,    198737
  -204824,    261572
   -43276,    238403
    40938,    411238
   100474,     32583
  -272277,   -252893
   408707,    230661
  -116641,    127490
  -202606,      4376
   -24849,     45400
   262793,   -221373
   159712,   -307855
    22447,    -52697
    80306,     42229
   -77175,   -125419
   360576,      2586
  -147486,    -94697
    26836,    -91513
   150721,   -121530
  -119793,     78253
  -145541,    273443
   -58523,     30531
   -24313,   -126264
  -260406,   -116717
   106047,     92234
  -241579,    114346
   -81800,     33750
    44006,    -43122
   -53511,     48407
    55593,    -70019
   -22519,   -195815
   116120,    188385
    56438,    169158
   202105,     -1780
   -91894,    -33070
    93544,    -27151
   162202,    -38231
   -21226,    142602
    10907,    102767
   -31039,    -73677
   102150,     41169
  -185230,   -151191
   -85106,    -97725
     3130,     39412
    46582,    -38244
   -58072,    -72130
  -118625,    -20668
    20506,   -133358
   -73653,   -172005
   119754,    163810
   -52560,     61842
    45271,     14052
    21055,      4235
  -105534,     46036
   -32680,     98905
    52328,     39509
    51797,     64736
   -67421,     67488
    81567,     90345
  -169191,   -105970
   -18932,    -38995
   133509,     45625
    25590,     17800
    37978,    -59234
    -6707,   -124214
    28149,     17218
   -19117,    -77653
   110315,    -42846
   -13776,     -3909
   111920,     20967
    22927,    -31963
  -191341,     24553
   -26752,     28404
    33530,    -41333
    25988,    107021
  -119609,    -24399
   -35927,     -3492
   -99214,     12225
   -43685,    -16386
   -19398,      7468
    14138,     29397
   105859,    -52796
   -55336,    -41162
     2832,    158668
   -20164,    -42512
   111986,    -31882
    96181,     62883
    46704,     34697
    15862,     15269
   -34281,      3324
     8597,     32320
    -1525,      -264
    98551,     18035
   -78676,   -126886
   -17328,      9924
    -6654,     34686
   -99804,    -84705
   -11825,    -71317
    56830,    -56651
    36693,    -19418
   -79208,    -43630
    -4444,     53490
   -47035,      -255
    74369,     21607
    32722,       -31
   -74001,     18235
    43826,     75208
    -8581,     35558
   -68607,    126561
   -31396,    -14971
    95273,    -15888
   -20702,    -14994
    -9670,     41594
    -3427,     30117
   -21880,    -20227
    80966,    -57268
     8586,    -76986
    34404,     26064
    21214,   -101483
    34366,     14285
   -10180,     72816
    30827,    -45165
    11115,    -78580
   -29179,     -8846
    19750,     48454
   -54885,     23383
   -34548,     63350
   -60526,    -76764
     5533,     11733
   -25423,     -1327
   -78841,    -48334
    -6329,     64270
    25390,     38483
     1459,    -13849
   -46145,    -66360
    59610,     37826
    25534,    -23296
    53397,     78634
    19607,     60121
    -3625,    -27165
    76470,     -4545
       -1,    -18495
   -29044,     54908
    26732,     -3186
    61376,     16921
   -74130,    -40307
   -20714,    -19047
    -2536,    -54422
   -41081,    -63347
    43110,     33718
   -13442,    -17202
   -23960,    -11063
   -17329,   -115222
     1865,     17942
   -21790,     42238
    42414,       120
    11419,     24493
   -25319,     54817
     7042,     40433
   -62338,    -26559
   -14565,     81144
    45295,      9595
    33249,     71657
   -55631,      9859
   -36520,    -63860
    22111,      9087
    22961,    -10988
    41416,     -8953
    15831,    -30806
    66599,     24964
    -9327,    -87355
   -20382,     19496
    20374,      9866
    61775,    -53895
    51780,     35068
   -43059,      5731
   -60143,     10145
   -26427,    -39720
    -2443,     41250
   -43804,     -2629
    10180,     25916
   -24031,    -23336
   -92271,    -30012
   -16985,     68105
   -10686,    -32418
    10665,     -9804
    59915,    -18686
    30978,     66944
   -43431,     -5451
    18579,     -2975
    35167,     33088
    44355,     21095
    77185,     21240
   -28207,    -30759
   -18882,     67696
    28020,    -10016
   -18425,     15280
   -31115,    -35497
    47556,    -52845
     1342,      2555
   -74354,    -20561
   -31131,     -7547
    -4455,    -54831
    38835,     -2869
     8923,    -82299
   -30066,     38670
    -4577,     16848
     8736,    -25049
   -18484,     73523
    -2289,      6083
    30946,    -12282
    -5604,      5621
   -36798,    116971
   -37373,     12741
     3854,     26440
    11034,    -29739
       35,    -29322
    26671,     56112
   -10075,    -44840
   -14818,      6308
    48273,     -3651
    38977,     -9780
    -2383,   -105129
    41895,      3277
    30727,     38731
    -2288,     -8512
    12644,     16836
   -11950,    -67289
     -208,     11658
    12547,    -16859
   -71414,     46091
   -50910,     17730
