real, imaginary
  8656697,         0
   -30211,    118179
   273288,   -325683
   195034,    294994
  -643845,     44525
  1006422,    -88033
  -152385,     93468
    95722,   -229242
  1071226,   1131569
  -502168,   -477222
  1854822,     -8237
   165369,    837959
    74823,    498692
 -2421463,  -2889078
 -1247939,    -35028
  -230950,    -25092
   -29748,   -457891
   120314,   -230747
  -201917,   -369644
  -583413,   -262304
   -18363,    156892
   314603,   -736863
  -464893,    -59991
  -175941,    102340
   205995,   -236586
   -64911,   -322600
   -84349,    224746
  -222486,   -501280
    70901,    126373
   -36556,     35628
   123453,     17913
    86560,    276299
  -205776,   -413608
    45814,    207675
   479232,    -53321
  -334458,   -143668
    57790,   -893714
    88000,   -615017
   130043,   -330850
   -28485,    -83705
   177623,    207076
    -2306,     26976
   170752,    -19703
   -71780,   -441909
    77772,   -169929
   -88060,    284951
   215811,     33995
  -109542,   -326096
    38551,    103332
  -136001,    271891
   131934,   -305111
  -117205,    -15480
   -54328,    125326
  -141745,     56405
  -123527,    326459
   160479,   -119741
  -105875,   -190180
   204549,    187870
    35364,    -81780
   145115,   -129316
   310479,   -153914
    92042,    -77753
   -47350,     -5146
  -220225,    282938
   -80511,     71221
   -94363,     97348
    15092,   -313549
    24929,     31363
    36254,     59519
  -229503,    -29251
  -223468,   -149048
   106823,    196386
  -171017,   -164756
  -126906,   -102790
    20695,   -127146
  -226764,     21958
   -56048,     -9918
  -213557,    -83804
   -95074,    -10372
    25100,     27668
   245194,     63675
    34187,   -112757
   -91866,     30674
    91304,    145327
    40896,   -134470
    -2268,    -10680
  -215971,    -97416
  -118819,    -93164
  -191032,    -48830
   163584,    -80481
   132912,   -154682
    29440,     29092
  -179307,    -91877
   -32070,   -226592
    19442,     27032
    18687,   -105408
   -73230,   -181219
   134532,     43497
   -20749,   -138899
   -33800,     -4561
   -86446,   -194152
   -95234,    115779
   102329,     68217
    76466,     67451
   -46148,     81477
    69822,    131076
   -66462,    -71803
   -47392,   -117752
    17418,     58569
    16769,    -95201
    -7838,    -35610
    43967,   -117135
   -35309,    -36197
    97360,    145743
   136843,    134994
   -80786,   -122476
    -1950,   -137322
    41956,      7400
   -14517,     15835
    68383,    -59274
     1523,     91058
    76145,    -56050
  -202336,      4538
    39911,    -34439
  -121144,    -23376
   -88465,     39100
  -174707,    102211
   -27119,     90348
   -32279,     98752
   -81300,   -128131
   -20830,   -165821
    16725,     41364
    21182,     27949
    -8597,    -13420
   -21239,     -7853
   -41226,     -6709
      -58,     78192
     4254,     43213
  -181253,    -32517
    92771,     -2653
   105990,    -91197
  -116845,    -83123
    17898,     91469
   -52106,    -54560
   -21044,     53004
   -46940,   -159188
   -43137,   -104709
   -85664,    -99332
   -41262,     13390
  -120502,   -151128
   -68775,      1564
    -9441,     50978
   -45206,    -71854
   158052,   -106400
   101403,      9593
   -22925,     -3290
  -113951,     30814
   -40277,     41338
    29857,     22072
     7403,   -124309
   -82586,     73721
   -21972,    -11278
    61660,     22172
    56990,    -14412
    23180,    -36308
   -16016,     76408
    26054,    -55773
   -48401,    -17200
    56303,    -95770
      944,    -55599
   109758,    -32553
   -15678,    -59104
   -80463,    -76237
     2943,     28021
    38455,     87987
  -113370,    -60216
    95197,    117465
    93896,     51149
   -73147,     54657
  -124918,    -13401
   -58127,    -66314
  -153429,      7541
    84547,     56829
   -33592,     -1372
    -1810,     34605
   -56888,     12530
   -81479,     31568
    34186,     53777
     2605,     47404
    -5816,    -48588
   -59333,    -51803
    39643,     30622
    63088,     -5997
    60484,    -32460
   -76444,    -15088
   -81808,     12018
    64397,    -49044
  -144784,     37293
   -90947,    -31157
   -52111,     39406
    14306,     46033
   -84486,     11043
   -57224,   -140271
   -43040,    -83288
   -43294,   -115092
    -6222,     21732
   -30869,    -16091
   -34986,    105757
    12568,    -18615
  -131654,   -125264
    28275,     40276
     6094,     29535
   -24557,     10374
    28724,      4660
    97435,     -3444
   -28492,    -14241
    25536,     47471
    13834,     15074
   -40743,   -102574
    38710,    -18846
  -112558,    -60824
   -43354,     24354
    25976,    -66713
     3596,    -14556
   -49169,     -3481
    55129,    -34331
    66037,    -33130
   108620,    -92910
   -86656,    -35638
   -39512,    110576
     -262,     45849
   -86231,     47176
   -29361,   -109247
    74413,     36220
   -10505,     23923
   -92065,    115552
    12193,      9181
    -4660,    101614
   -12121,     30705
    21460,     11611
   -55590,      5595
     4897,    -38609
    16766,     -3446
   -16914,    -52212
   -60507,     12173
    43311,      5673
   -26543,     -6094
   -17072,     77184
    78435,     21722
   -24689,    -24680
    -3374,     57922
     8777,      2144
   -88981,    -47105
   -56744,    -14527
  -222240,     -3941
    12914,    -23477
