real, imaginary
  5932283,         0
    20909,    132478
  -790514,     72496
  2262321,    546958
   -77918,    -81701
  1974578,   -169942
  1432806,   -537974
  -765875,    142870
   302040,   2130725
  -120906,   -542955
   358370,  -1211114
    96904,    236365
  -439892,    521758
  -411798,    834507
  -789544,   -526044
   -60077,   -335552
  -614315,     88984
  -720732,   -462312
   472267,    557303
  -497535,    405535
 -1050059,   -238089
   418210,   -205168
   265101,    277027
  -682066,    335750
   276314,     77570
   297334,    631592
  -131255,    -23190
   130803,     38842
  -159778,    688869
   185948,     11721
   294724,    303513
    44069,    265281
   -77659,    -73655
  -290170,    455173
    60358,    189698
      483,   -211178
   -46436,    -32764
    30543,    184767
  -138041,    154856
  -194343,     57239
  -221300,   -123790
   264879,    -26820
   133868,    129260
  -212035,    115370
   110699,    254512
   -39615,    128812
   127267,    126945
   215674,    112005
     3292,     13124
   125597,    486235
    13168,    333565
   142411,    -81120
   161671,     36226
   -52393,    232496
    38320,    177698
   111786,   -160483
   154458,    124886
    -5615,    118493
   -79128,   -233838
   102252,     23974
    85124,    -38630
    12460,   -111983
   179831,     -5233
   112725,     74441
  -197556,    -25196
    45377,   -119866
   137348,    181204
   136525,    -47328
   119662,     -7532
  -202831,    337513
   -23596,    -32128
   163967,     -7755
    47683,    115749
    44373,    -23072
   -31693,     92774
     2858,    128106
    13096,    -48373
    40299,    -67754
    15017,    -53192
    53923,    -54398
    91555,    -13516
  -126298,   -108170
   140883,    -56278
   145155,     17624
  -174904,   -160832
    48602,    -56414
    62785,     30189
    52020,     46504
   -15006,     58987
  -147159,    -85466
   -26150,     36084
   -63714,    112563
    22129,     23951
    61774,     18873
  -165413,    139436
  -162805,    124643
    35726,   -129338
    40833,     72763
   -28580,    119986
    40788,    -55702
   -38565,     67820
   -51077,    -39782
    77445,    -20697
    92990,     31243
    43412,    -20537
    -5829,     -9336
    36168,     -3915
   -34730,    143721
    39324,       914
   104645,    -79085
  -143833,    129755
   -42827,     43691
    78589,     53463
   -41650,    121844
  -101003,     34779
   -80161,     12440
    25843,     36366
    -2688,     75320
    30253,    113329
   -40264,     44531
   -32878,    -29550
   118067,     53694
   -35293,     -4360
   117914,     19389
   199375,    167839
   -54613,    -19433
    29569,    -45741
    87083,     60131
   130813,     65260
    97097,     38796
   -28490,    -10105
    37155,     40016
     1063,     48078
    -4755,     36141
    74897,    -18556
    -7026,    -10799
   -65374,     73138
    62496,    -39720
     2356,     52556
   -75305,     11927
    88237,    -60058
    34257,     41627
   -18039,    -71249
   102314,     60536
    69004,    138870
    -1560,    -76379
    61406,    -60407
   138646,     18691
    29459,     81763
    69027,     57063
   117335,    -31619
   -51317,    -16107
     3607,    -27508
    84777,     -1608
    59284,      -680
   -23042,      -597
   -81920,    -24882
    30316,    -77444
   -22586,    -54403
   -13627,     24337
     1660,    -22717
   -22978,    -93747
    58668,     24261
   -78201,      3431
   -17344,    -39829
    97933,     68810
     4205,    -29289
    33574,    -38301
    -3642,     74277
    11173,    103606
    52236,       357
   -15214,    -40250
    19272,     34298
    52004,      5962
   -13141,     68777
   -31451,     35221
   -21008,    -84135
   -22062,    -33047
    38463,    -40445
    -3820,     39785
   -82130,    -19206
    42028,    -41445
   -10702,     60067
   -61792,   -120625
    37757,     -4999
    29781,    168663
   -19733,    -24877
     2098,    -26108
    33045,     74914
   -46435,     71035
    13499,     46985
    77254,     54950
   -10170,     32983
    23576,     64013
   -45984,    103398
    18894,      7921
    54837,      -706
   -34868,     27761
    92704,     -5399
    29722,      1939
   -51936,     40966
    20189,     -1487
    52208,    -84288
   102793,    -12582
    -2388,     23165
     -331,     28095
    37890,     43655
    11929,    -25612
    73571,    -18687
     4659,     33921
   -13307,    101965
    70339,     51997
    21319,     -3663
   -39567,     67072
    25666,    -10231
    60209,     40941
   -13114,     64352
    26506,    -28256
    75788,     13104
    38354,    -11317
    -6125,     13768
    13974,    -53038
   122655,    -70723
    82584,     74775
    20335,    -74290
    25460,    -70949
    14836,     71362
    56795,    -54758
    81455,    -87204
    45728,     26132
   -48801,     44948
     2948,     -7518
     7269,    -10882
   -21752,    -40932
    82435,     -3029
   -67348,     57949
   -52847,    -13835
    61896,    -11794
   -66599,      3090
    41716,    -35441
    56197,    -23881
   -28192,    -19731
    32124,      7283
    56753,     -3021
    50499,    -43271
    -4460,    -65011
    25195,     13208
    44187,     12977
    39076,    -61094
    72092,     23698
   -41087,     -8969
   -78709,    -19355
    26075,    -15007
    57283,    -29026
   -51949,     60118
   -73523,    -18682
