real, imaginary
  7966083,         0
  -474767,   -395158
   634449,   -428030
   601463,    -25231
  -604906,   1400230
   382893,   -426350
   477085,    217939
  -899863,  -1421504
   452250,  -1180483
   879421,    -91359
  1521484,    184381
  -324462,   -305085
   -27451,   -798303
   452553,   2698391
  1177562,    394165
  -206264,    333668
  1448861,    237145
   245740,  -1383520
   521131,     49132
  -320692,    252386
   315665,   -308788
   -70717,   -206385
   364012,   -237238
    63162,     88116
  -209440,   -623380
  -495459,   -803351
   161617,    362337
    64911,    362539
  -289302,    267359
   192151,     -1667
  -569231,    612049
    26265,    126482
  -256863,    294643
   -70138,    196507
  -113954,   -522296
    30649,    164241
  -327524,     -6023
   135578,     -1248
  -431802,    112094
    90322,    -79675
  -212677,    142161
  -101612,    114023
   366871,    -56611
   -22449,    -29677
  -265122,    105082
   339365,    -49337
  -178442,     70244
  -430533,    170704
   -65234,     13362
    13781,    -46660
    29569,   -144964
   110012,   -292524
  -172232,    -11973
  -198332,   -302416
    24519,    330374
   238285,    251598
   150963,    -57290
   -35000,     93661
   200123,   -295932
   372927,    170763
    72491,    -76442
   -83981,    -80573
   369878,    -35564
   -71960,   -165357
   -16625,    -85029
   -95451,    -91391
  -100124,   -285811
    -8637,       -91
   336178,   -174310
  -174562,      6230
    82229,    -94343
   -96410,      2325
    26234,    181864
    13698,    136287
   -21053,      2596
   -27914,    -83648
    59017,    236663
    58063,    -81477
    -7832,    -56924
  -112102,     96968
  -233567,     28402
    -8129,     51843
  -130974,     79280
   129385,    110768
    35131,     -9697
   136725,    -64365
   -35892,     83209
    77211,    -13236
   -79930,    136218
  -145074,    156301
   -26584,     52075
   172365,   -110470
  -209095,    -67875
  -139389,    122948
   -55487,    -64625
   -37473,    -12449
    40846,    199630
  -102336,   -115132
  -128620,    109511
    87966,    -61265
    47007,     79218
   173723,     29162
   110883,     14994
    53487,    -42263
   150759,   -147428
    18588,     64763
  -195075,    -84388
   -60277,   -108557
    32145,    -19593
    36133,   -144015
    -9323,   -109444
   -63369,    -12814
    98576,   -143703
   -24633,     34051
   -29315,   -173869
   -85489,    104207
    75127,    -25516
   -26888,    -14669
   192381,     11004
    28378,      7725
   -42837,   -137174
  -120379,    113036
    -5280,    119323
  -121426,   -121834
    23017,    124825
    19103,     59048
    35289,   -112329
    62993,     26614
    32783,        10
   107823,    120692
   -15408,     85006
    60349,   -137677
    17145,     57814
   -60839,    -33198
   -84399,     99080
    39623,    115323
   -46267,     -8785
    96390,     28703
  -129810,     92373
  -160189,     70838
   -11688,    -35382
    16244,     54994
    12558,    127188
    70717,    -14514
    98694,    101141
   159037,   -136126
   -14455,     83293
    -7523,     20569
    21833,    -81329
  -111147,    -18290
     3735,     -9102
    51575,    -43825
  -117290,     42301
    58387,    -84523
    29778,    -59990
  -119156,    -86704
  -114441,    -16368
    28628,     -5195
    24324,    -88009
    -4654,    -59851
    23414,   -100406
    17211,     73571
   -22970,    -52915
   -66457,     80284
    19698,    -65515
   -58299,     24367
   -38774,    -42284
   -84734,     -3155
    28123,    -13834
   -38210,     33091
   147602,     65280
    58459,     23835
    -3012,   -151600
     7263,    -51139
    27633,    -58091
   -47526,    100377
    51649,    -16305
    38894,   -100236
    -1385,    171122
    45789,     18177
   -88434,     36825
   -59995,     42118
   -34081,      -128
    20814,     74496
   -36554,     61023
    68422,     60270
    98660,     -2819
    89315,      2191
    38315,    109362
    36866,    -52964
     9068,    -43777
     5327,       938
    -7513,     99685
    65849,    -57596
    31807,     20827
   -96548,     20939
    12001,     19224
   -20143,     13682
   -64335,     33243
    62758,   -138440
   -79228,    -52366
   -63683,   -100805
    29643,     59312
   -37076,    -32908
    -9485,     38582
    19503,    -18094
   -82118,    -76335
    25808,     44492
  -144373,    -49395
  -135601,     30343
    77488,     37517
    28430,    109438
   -17947,    -43141
   -15552,    -18511
   -12110,    -44096
    10356,    -66996
    25391,    -64806
   -55979,       940
    41830,   -182838
   -12842,     80119
    51812,      6078
    -3300,     65708
   -61276,    -34204
   -55742,    -40421
    43697,    151513
   -33069,    -23443
   -46472,    -14722
    77196,    101524
    41049,    -25654
    28102,     32638
    34445,     54916
    32332,    -32830
    41496,    -28573
   119798,      3399
    32164,    -52160
    35093,    -37746
   -12702,     69058
    20554,     70580
    68336,    120354
    48086,    -37660
    28435,    -36596
   -78665,    -17621
   -17950,    -76366
    30802,    -33228
   -31727,     52794
   -39397,    -48767
    44363,     32086
   -29938,    -99847
   -34602,     53873
   -68030,    -53351
   -42724,     61610
    -6046,    -31408
     1731,     70777
    35516,     91519
  -120707,      8454
   -34772,     75722
