real, imaginary
  6190991,         0
  -209417,     81185
 -1582969,    120224
  2757113,   -301192
  1519311,   -441958
  1089066,   -644928
  -629718,    835710
   496491,    -84640
  1120130,  -1356325
  -731347,    705435
   306387,   -640982
  -205388,    189066
  -748208,   1162718
  -329977,  -1313992
  -384229,     65988
  -205673,   1008930
  -794915,    313278
  -566903,    -79217
  -199590,   -210187
  -356627,    477395
  -138592,    154041
  -341109,    228687
  -375940,   -258971
   -56752,   -596535
   -50628,    387937
  -221383,    -73220
   -48107,   -558376
  -251665,   -243386
  -112055,    -45108
   -99406,   -150397
  -361469,   -265097
   195787,   -175545
  -355626,    -18036
  -482201,    174719
   202624,   -220116
   -89205,    -61796
   -80222,    371970
  -345473,     97276
   -82191,      4049
   128381,    -32565
  -126905,     67871
    51586,    202835
  -416604,    131501
   -66695,   -220020
   279598,   -205270
  -378151,    225065
  -236677,    -59948
   -24781,   -234120
  -132337,   -108952
  -150797,    -56544
  -192486,   -120232
  -137548,    -52390
   -23076,     50463
  -119485,   -215603
  -173546,     36416
    65369,     57574
    70534,    -97542
    20348,    156525
   -70076,    -90135
    50474,      3954
   179924,     22458
    99544,    -24947
    65143,    145747
  -176682,   -141260
   103586,      8762
   250140,     51239
  -196788,    -32273
   -42553,     63340
   -27303,    -18665
   -86115,     48414
    12290,     -6289
    -1274,     -3887
  -139864,    153304
  -108836,     27331
   172575,    -90028
   -28399,     71238
   -30749,     41251
   123708,      8736
    -7245,     56354
   109452,   -120459
    97517,    -24526
    78956,     56976
    65856,    -22453
   106794,    -21139
    98132,   -140747
   -22594,     93450
   131062,     40073
    66532,    -60338
    12251,    140177
    50390,     -4710
   -61008,     56184
   155316,     97619
   128627,    110427
  -122952,    142143
     7054,     -2299
   170823,     94131
    50225,     74432
    36018,     46560
     3921,     96805
   -33525,    -37328
   163772,    -33371
    86749,     37267
   -63303,     21910
   -53042,    -74891
   121798,    -22563
    97715,     21200
  -144766,    -25801
    87601,      5641
    50566,     14097
   -24339,     67292
   126395,      3267
   -52203,     -9096
   109870,    107714
   125585,     99958
   -31842,     34547
    62472,    -20172
    70038,     56657
   125134,     71050
    21786,     65123
   -62424,      3448
    30449,    -95908
    51015,     60073
    30302,     90581
  -108557,    -18376
   -79609,    -98698
    34411,     54243
   -28093,     48367
   -74549,    -83284
      -29,     65498
   -69863,    -36617
   -38615,    -14617
    99719,     58306
   -46159,    -81473
    -6268,     23319
    64064,     10242
    -9551,    -34701
    52603,    -57604
    30881,    -65667
    29379,     62046
   -39253,    -44561
     5596,    -65019
    48411,    -36362
   -71490,    -25196
    -5243,     80685
   -42453,    -35295
   -53056,    -60530
   -48037,     44652
   -47997,     -6726
    -2801,      8681
   -78994,     58440
   -49343,   -101557
   -35338,    -30773
    17813,     72163
   -13546,    -70605
   -77419,    -56921
     5113,    -67471
   -35362,    -70325
    29056,    -63493
     5898,    -62396
  -108897,    -44733
    -4546,   -154859
    17934,      3118
   -17340,     -9650
   -48913,   -141554
   -31675,     44038
    12494,    -10735
   -27664,    -37998
    -4875,      1859
    25059,    -28559
   -23964,     59762
   -22184,     26101
    23528,    -60272
   -11297,    -58604
     8676,     48044
    -3657,     24100
   -79182,    -77341
     -304,    -67918
   -22625,    -61334
    -3013,     25480
   -68712,      4766
  -103191,   -120614
    55540,    -93521
   -78430,     60755
   -46026,     10880
    25899,   -104143
   -52609,     11074
    33571,     15609
    -9206,    -31541
    40849,     28069
    51313,    -17774
    -9934,    -21073
    34846,     41451
    15627,      1068
    63435,    -77710
    41516,     55823
   -49671,     52162
   -12828,    -50920
    32525,     -1209
    21920,      4517
   -43699,     69840
   -85164,     39423
    -1729,    -23006
    46929,     37431
   -75333,     23614
   -37731,     86722
    24882,      1388
   -37368,     -1064
    44305,     42997
    10389,    -19924
   -10347,     85849
    47510,    -16972
    30983,    -64575
    13318,     59829
    -5338,    -24954
    86289,      6918
     5910,     37481
   -48387,    -22285
    54659,       620
    15071,     61957
    17856,     57189
    -8563,     23546
   -19582,     50935
    -3694,     93239
    35947,     49774
    30924,     39720
   -42752,    115687
    11991,     38292
    -2675,     22980
    32312,     60512
    51120,    -12683
   -77321,     82208
     3295,     14010
    26774,    -46111
   -17574,     12807
     7478,    -15620
   -35339,     73299
   -42695,    -18505
     9604,    -55580
    41580,     51955
   -45827,     42232
   -33117,     44388
    70126,    -14093
    16136,     38081
   -31302,     63914
    63354,     10855
    53737,     50580
   -14394,     23154
    59295,     13459
   -17794,     21232
    13551,     27286
    98363,      2927
   -85621,     21931
   -48886,     12132
    10674,    -50339
    19402,     16292
   -12416,     38339
