real, imaginary
  6751315,         0
  -618229,    542005
   112781,    871496
  1380418,  -2713310
   424567,   -360721
  -255501,  -1982504
   -14384,    398386
   -55508,  -1685663
 -1108532,   -887830
   477744,    318997
   410290,   -655124
    67777,    445861
  -721640,   1683344
  -403116,  -1389199
   269410,   -639295
   552615,    309571
  -402857,   -710952
   590463,   -572573
    73596,   -100027
   -77240,    -34780
  -114718,    198332
  -254304,    -82056
  -435858,    -30507
   125776,    101173
  -211266,   -246352
    19402,   -365073
   308627,   -413846
   804465,    225211
  -236911,    134779
  -481396,    -84241
   125361,   -252897
  -136206,   -179378
  -422885,   -132428
   180632,     25735
  -104635,   -316145
   148919,    136204
   174208,     17348
   -24308,    -10065
   235105,    -38143
  -172541,     70499
  -225177,   -245059
   116826,   -142948
  -216312,   -305692
   -27096,    -62299
   244477,     15830
  -194027,    111305
  -108809,    -67138
    27527,     65645
   117755,   -141152
   -42318,    -61411
    83365,     46141
    -5985,    -44810
  -188815,   -296269
     5111,   -108877
   198535,      2180
  -369287,     19998
    12332,   -151741
    90505,     23919
   -62156,    138012
    23833,   -114493
    46243,    -12487
   -50608,     76570
    93141,   -133500
  -259456,   -103071
     6912,   -150159
   165554,   -225293
    -5291,    111280
  -125341,    109526
   -57452,     45984
   -92649,   -102445
    27808,     45877
   -49817,     48832
   -22517,   -177377
    30204,   -193351
   134939,     35077
    -3027,   -118163
   -34215,      1485
    10486,    -11233
  -130763,    124297
  -178863,    -26399
   -53635,   -179575
    -9337,    -35887
    86099,     23668
   140535,   -169441
   -43331,    188544
     3866,    -48476
     5454,   -152414
   -61384,     54427
  -113798,    -24293
   -12896,   -114574
  -125817,      8208
   -39846,   -109028
    90582,      1600
    79942,     45825
   -87873,     65791
    25503,    -12930
   -15868,    -66157
     6911,    -11608
  -105688,    -84818
    39098,    -97599
    28446,     11814
  -112898,     -7551
  -116673,     12260
    86390,    -66510
   -23018,    -75455
    53133,    171771
   -36698,    -32585
   -28866,   -108634
    22792,     15441
    14320,    -31787
   -57906,    -62739
   -70661,      1880
   -75028,   -136471
    80775,     26318
   -58410,     10973
   -36811,    -17674
   117515,     42055
   -43264,    121349
  -124031,    -77090
   -13166,    -84171
    50909,    -94558
    15057,    -66798
   -42711,    -56330
    22830,     51547
    -8405,    -55623
  -114759,     22776
    65260,     78339
   -82762,     20719
   -98263,    -65486
    45518,    -17056
     8119,    -95092
    36243,    -61362
   102592,     10085
  -101224,     42897
      212,    -13487
   -84044,     -7825
   -97415,      1665
   -11790,    -31729
     6020,    -46002
   -11231,    -12508
    57526,     61451
   -50222,    -38184
    45848,    -94114
    13603,     55338
   -23703,     54612
  -137390,   -127018
   -48164,    -27797
    37880,    -31660
   -24334,     -9962
   -52189,     30751
    37906,     17470
   -42231,    -13201
    35242,      8707
    -2181,    -42582
   -44541,      3140
    76454,    -89518
   -38632,     53236
  -150107,      6831
    18015,   -115240
     5149,    -21036
   -70315,     86265
    12186,    -32711
    -9019,      9828
    -7486,    -26861
    33761,     45202
    24430,    -11846
   -77250,    -24315
   -39701,    -10466
   -43862,    -79529
   -16340,    -84542
    -3696,     19995
    28805,     -7187
   -20537,     77632
        9,     27142
   -82721,      4862
    10715,     31792
   -15523,    -88385
   -19710,    -38850
    -3121,      2241
    36277,    -94113
   -66983,     -4764
    20613,     24529
    15025,     13252
   -75799,    126327
  -155933,    -33516
    50227,    -69676
    28365,     -1301
   -28072,     -5876
    43482,    -40570
    41869,      1550
   -47236,    -18891
    -8462,     26840
   -83133,    -26312
   -25047,      1619
   -24311,    -34325
   -50636,     67043
    -7221,     -7578
    -5639,    -80630
    55039,     26835
    45695,    100425
   -93795,    -80273
   -38641,    -11708
    30427,    -27039
   -45836,    -24666
   -23681,      1316
   -58747,     22827
    -6452,    -12543
   -33976,     29256
   -34671,    -31853
    45405,     10211
    37554,     15757
   -44180,     -8266
    27524,     -5829
   -64266,     14836
   -17859,    -67828
   -43499,    -13813
   -38652,     49406
   -31595,    -49171
   -23061,    -30600
     -911,     54866
    80691,     -7852
   -38196,     23084
    -9222,     95505
   -83590,    -50725
   -34331,    -86747
    33261,    -26282
   -52224,     12219
   -35040,    -61670
    63835,     12662
   -67055,     66247
   -13434,     43723
    -8637,    -12247
   -47097,     26177
     1999,    -14682
   -14263,      6386
   -43410,   -115525
    31945,    -34460
    62162,     31556
   -34683,     30278
  -108222,     29530
   -39317,     28484
    10619,    -72703
   -55422,     70448
     -131,    -15541
     7338,    -47341
    34095,     20796
    -9511,      7537
   -29540,    -27479
     5601,     -5460
    -6571,    -14514
  -117234,     47720
     4160,    -45113
   -31792,    -17833
   -35530,     31553
    36531,      2037
    31274,     46618
