real, imaginary
  8198601,         0
  -585690,   -394868
  -319763,    275385
  -710040,    948477
 -3271925,   -238326
  1023709,     98497
  1510362,    434949
  1154609,    346620
  1431885,  -1059796
 -1016757,   1094742
  1138798,    132824
   341267,     60770
    78486,     33060
  -743243,   1429597
    95203,   -318887
  -177999,    584901
  -114279,    278325
  1299357,    148631
  -322649,   -125702
    72548,    566151
     8003,    -84994
   256364,    437695
   -79938,    269583
  -231313,    302057
  -423286,    413694
  -286930,    565998
   293371,   -244052
   -19976,     67023
  -164591,    208010
    73183,   -149496
  -280473,     30203
    -3197,     99110
   -17443,     75363
   -20069,    141062
  -455246,    290489
  -230264,    198412
   316648,    -51323
  -150324,    -63419
     1624,   -317718
  -175366,    232580
    86971,   -308973
  -118163,    -38327
   163907,      6641
    57823,    202122
  -249806,     19711
   157500,    266848
   -68922,    -42806
   177326,    -39253
    16284,    -67438
   -42879,     13265
  -186144,   -105198
   234344,    160112
   134921,   -185693
  -125400,    186944
   129195,    268960
   104541,    142893
  -105568,     -6783
   194859,    111197
   -38549,     71427
  -121452,    -88282
  -151377,    158815
    53732,      8642
   -20818,     -1930
    30773,    109551
   -35176,    192481
  -110691,    243249
   180669,    -29913
   -92758,    112921
   -83413,    -61546
  -132397,    162436
  -149869,    -21690
  -113997,      2508
   -36100,    -77864
    36529,     96696
   -96618,     32344
    55835,     51368
   -62635,     62865
   115059,    -11679
   -64675,   -188914
  -177445,    212793
  -100806,    -28278
    -5594,    -60364
  -114250,    -82991
    49058,     77650
    41748,    -45888
    21335,     50096
     -155,     65390
   169558,   -163344
   -48829,     87342
    -9686,     13342
   -79645,     33380
   -52909,     87433
    43652,    -40390
     1160,    -23863
    17903,     58118
    26814,    166672
   123655,   -146432
    -4815,     56379
    12338,     28652
    15601,     82318
   -85663,    110227
   -79946,     87725
   -32878,     17544
    55879,     43227
  -104089,     28477
    10164,    125313
    36671,    -20278
    15728,    -11607
   -87800,    -94097
    19273,    198899
  -120058,     24154
   -57628,     84580
   -57769,     33329
   -35005,    -13073
   -88218,     67854
    51147,    -13309
   -94651,      -649
    -3196,   -108695
    44799,    -21134
   -82882,    -25622
   -81877,     81493
    44663,    114185
   -45522,   -111419
   -93014,     61237
    60809,     19420
   -13432,     25130
   -41514,    -92670
    33240,    -37693
     -106,    -65665
   -13494,    -19742
    19754,     88542
     1801,     71113
    -8846,       936
    67885,     35980
   -49749,     10136
    21873,    119686
     2861,    -66473
     3529,     16799
   -85627,   -104670
    59599,     83782
   -32575,     86038
    35876,     32909
   -30757,     68777
    28187,     39064
    -1533,     67866
   -20337,     -1487
   -73475,    123285
   -12600,    -68816
   -80599,    -96907
   -75761,    105916
     -112,     28229
     9339,     38059
   -57589,     14025
    -4539,     36183
     3969,    -19517
   -37994,     87548
   -34916,      -784
   -90310,    -77923
   -71882,      7236
   -39641,    -37438
   -41864,    -17144
    -1933,    104914
     4942,    -68470
    37415,    -32586
   -55996,     -8114
    78987,     91043
   -38259,    -92401
   -23002,     20003
  -116140,    -45732
    22493,    -21396
   -11100,     51882
   -13224,    -19490
    24246,     29671
    58693,    -53128
   -15605,      4787
    49925,     29547
    19900,     54942
   -33192,      -940
   -89062,    -25737
    13844,     71257
   -53514,     22711
    25753,     53880
    11404,      -374
   -56616,    -19834
    53190,     27369
    40429,     10220
   -42441,     41542
   -53182,     51044
    -8379,     -7417
  -110487,     31975
   -66686,     55424
    74392,     91065
  -114800,    -85686
   -11567,     15954
   -29245,    -39682
    34095,     17236
   -57174,    -17151
     1406,     11548
  -108681,     16576
   -39944,    -11214
    -7310,     59337
   -35260,      8908
   -32672,      4091
     5013,    -81563
   -76143,    -44816
    41505,    -26872
     6275,    -10784
     8371,      -526
   -91816,    -36477
    -1149,     38044
    18721,     62025
    11862,    -21426
    -3282,     11568
   -47442,        25
    33667,    -79552
   -27586,    -33603
    28863,     47459
    25171,    -12508
   -52311,    -36422
     4382,    109377
    -5834,      5644
    84318,     70369
   -74611,     29127
      369,     -9309
   -81183,    -27630
    22833,     44015
   -17443,    -29231
   -44048,     -8290
   -35852,     78862
   -12216,    -23195
   -21645,     42595
    33382,     88147
   -31095,     11969
   -26896,    -46223
  -130803,     25276
     9411,    -13421
   -40269,    -31062
   -28430,     -6776
   -95192,      1045
   -16002,     -6211
    40709,     18601
   -43094,      -981
    45658,     12533
   -57164,    -11611
   -76958,    -53692
   -25333,    -14737
   -13235,    -26225
   -20461,    -11571
   -69103,    -49080
    28630,      7880
   -46015,    -11836
   139344,      7085
     3391,    -42540
   -50992,     18589
    -4822,      5841
    11751,    -29616
