real, imaginary
  9174319,         0
   621370,   -532365
   473341,     47993
   525763,   -391455
  3866412,    290533
  -562846,    221305
  -351974,   -915434
   329895,    245547
   809510,   -521125
 -1383279,    655282
  -260849,    957166
  -894469,    228350
  -668183,    479997
  1342645,   -936823
  -170720,   -440644
   202339,   -517297
  -343019,    -72460
   833075,    657669
   359593,    111235
  -248347,   -114644
   -60635,   -160097
  -853191,   -369020
     1148,    282683
   588903,    523966
   168357,    150574
  -222272,    260092
   103144,   -309432
  -290542,      4619
  -126481,   -349150
    24625,   -158487
   155557,   -173215
   126179,   -228832
   249533,    240499
   111136,    141243
  -473329,    312118
  -136722,    -42161
   113062,    269704
   180044,   -189728
    -4506,     -4275
   151324,    -12010
  -190088,   -232270
  -102694,    105682
   174952,   -132810
  -328120,     -3218
   -83584,   -180368
    82982,     78755
   199739,    103250
   181501,     53537
   -58249,      9318
    -1130,    126475
  -117583,    -47097
   109537,    180722
   213516,     56076
  -291844,   -358929
  -150930,     -7348
   -95000,   -153389
   -97146,    183395
   139454,    -13752
   133123,     20189
    67673,    -71773
    27654,    -74389
    69956,    226118
   -90936,    -28058
   -64050,    -21002
    54878,    -85200
   113736,     42415
   -86878,    -96191
  -102715,    125518
  -162539,     90610
  -136754,    -29032
    76581,    101818
   135921,   -118442
     1714,   -190880
    59667,   -105841
   189159,     89711
   -29567,     88018
    64564,     75561
  -186536,    -34417
   -97719,    -24017
   -40647,    -80229
    15160,    138647
   120676,     17232
  -151854,   -106081
    89296,    171605
   -35835,    -37963
     5791,      5266
    46997,   -128641
    -2004,   -175574
   -19054,    -80525
    54886,     89769
    35053,    219428
   -30852,     19706
     9207,     -1532
   -64406,     31680
     8047,    -14936
   -88475,    -14753
    57471,     42054
     7619,    -89066
    52897,    -74100
    26865,     27783
   -69294,    -83767
   -71703,    -87933
   -22729,    116548
   129062,     79288
   -19323,     56762
   117385,     14374
  -103585,    -54649
     5133,    -12042
    17659,     48448
   -20802,    111964
    52895,   -108806
  -137987,   -114577
      845,     33563
   -75675,    -55516
    15225,      4294
    71988,     46603
    68704,    -74605
    48394,    102094
    52245,    111717
   -40201,     26385
   -26681,    -94822
   -27535,    -85093
   -62220,     44298
    44048,    -45190
   -49300,     94855
    41188,     -7691
   -49992,    -39368
   -36410,     28066
   -32823,     32718
    22436,    -74943
   103513,    -65234
    98962,     83387
    95873,    -37004
   -75993,     61357
   -51126,      7171
  -142346,     -6508
   -20655,     27610
    16178,     53002
     6682,    -21238
    69652,   -107332
   -54598,     14895
     7944,     79546
    24934,     24257
    16387,    -36620
    74587,    -39358
     3230,   -178856
   -42184,    101973
   -17600,     73163
   -34220,     22079
    35441,     45832
   -26286,    -10914
   -27294,     62018
     8047,    -68985
   -34337,     37599
    45525,   -100134
    16719,    -41436
   -23981,     26616
    18172,    -24624
    28913,    -58098
    11126,     18243
   -11135,     96978
   -31252,      5099
   -27635,     99827
     2106,    -31699
    48424,    -31926
    14065,     -6130
    11307,      2759
   -23577,    -65186
   -13826,    -34185
   -70976,     36373
   -27799,     10610
    54322,    -31505
   -21995,    -56578
   103744,      4588
    -9728,    -15353
   -17520,    207383
    25690,     36574
      210,    -51560
     3476,    -41806
   -85526,   -109250
   -33218,      7479
   -18927,     -8341
    26862,     58908
    49965,    -20690
    -2648,     17855
   -93256,     31428
    44189,    -47205
    41566,    -35416
    46603,     31570
    71048,     20044
   -20137,      5490
   -21686,     31611
   -71842,    -36059
   -19355,     -5772
  -109287,     38697
    16469,    -11306
    38552,    -50774
    44538,     12888
    20749,      5023
     2655,     11425
    46703,    -11618
   -45993,    -28195
    92135,     -5377
   -70594,      1426
   -37220,     80673
    29161,    -35113
   -25861,    -31285
   -35518,     47670
   -45354,      1616
     8735,     56253
    31026,      6033
    71072,    -80282
     3358,    -39946
   -50094,    -56918
   -69362,     25734
   114267,    -14538
    17246,     25504
    10209,     59631
      -40,      -955
  -113344,     51223
    -5487,      7853
     4339,     -3481
    39672,    -21157
   -24168,    -13299
    77306,    -66444
      211,    -16107
   -60086,     26038
   -42077,      1674
   -30060,     20608
    35442,    -36818
    34769,     -4474
    90988,      7452
   -60795,     71339
    -9097,     55659
    45618,     15940
   -52022,    -36302
   -40507,    -18112
   -14509,    -78127
   -23847,    -25879
    43795,      2084
    39319,    -36402
   -42581,    102571
   -43645,     -9794
    10152,     61288
   109627,    -35800
    -9880,    -34820
    11061,      5597
   -13945,    -24316
   -69235,     60108
    42866,     -4163
    -1806,      5181
   -75622,    -56572
   -47332,    -19305
    23091,    -27739
    20097,     51673
    23915,     19081
