real, imaginary
        0,         0
    10597,     -9809
    -4388,     -4379
    -4040,     13483
   -37095,      7477
    49832,    149776
    -3770,     15369
     5418,      8330
     1545,     15984
    16984,     12549
    14911,      5032
    10765,      5897
    18774,      3814
   -16697,    -21661
    -2152,      -981
    -2770,      8709
   -19518,    -15247
   -15941,     15307
    14942,      2010
     -247,      9067
     4951,     18386
    -8656,    -32748
    17820,    -14844
   -29403,      1120
     -715,     -3233
    12868,     11394
     8368,     -9076
    11595,     -8760
   -13050,     15463
   -16752,     11572
    -1360,     -3179
   -18647,    -15938
     -929,    -16083
    10594,     10903
     6768,     15629
     -542,     -7772
     8511,    -10252
     1782,     -9070
     7557,     -7503
     8722,    -12608
     8084,     -2053
     2548,     -5542
   -10083,      -979
      810,      7613
    -1089,     -3322
    -6096,      4223
    -1048,     -5097
     5447,      4651
     2635,     -7749
    11522,       780
      720,      -834
    -3430,      6528
     -463,     -7985
     1010,      2975
     1701,      3906
     8323,      1955
   -12238,      2261
    -4215,     -3278
    -3470,     -2768
     -553,      2338
    -7925,     -9857
    -1560,      7304
    -8147,      3127
    -3179,     -4140
    -9950,      7170
     5279,     -6026
    -7201,      3267
     5843,        59
   -15176,      2323
    -1841,      2241
      -14,     -3082
     -389,      1932
    -7032,    -11116
    -7338,      5722
     8430,     -7841
     5278,     -3262
    -4245,       317
     -799,     -1453
    -3505,     -4855
     -836,     13582
    -5858,     -7909
    -1881,      4559
     1077,      1687
     -381,     -7408
    -1934,     -1976
      807,      1416
    -4673,      5888
     3475,      1808
      280,      5585
     3983,     -6521
    -4492,     -6488
     5968,      2443
     -162,       258
     2360,     -1079
    -2520,      2500
    -6660,    -11164
    -6519,      4822
     1907,     -4120
     -203,      8305
      753,      7347
     2982,     -3186
    -2780,     -1328
     3291,     -1647
     2663,       749
      957,      -961
    -2427,      4784
    -2905,      2881
    -2575,     -3643
    -2503,      5861
     3722,     -4307
     3266,       514
     -637,        15
     3965,     -1613
    -1296,      3052
      818,      -397
    -4423,     -3348
     2132,      2198
     2395,     -2397
      368,     -2965
    -4183,      5390
     3201,     -4755
     8579,      5646
      212,      1397
     1106,      7538
      817,       989
    -1441,     -1084
     4672,     -3297
     -459,       -51
        0,         0
    -1033,      -136
    -5264,       159
    -1446,      -909
    -1870,      8412
    -1624,      2087
      389,      2873
    -3065,     -7133
      936,      3663
    -3218,      2592
     -245,     -1359
    -1520,      -764
    -3071,      -338
     2378,      4199
     -658,      1484
     6578,      2120
      781,      -740
        8,      1664
    -2401,       770
     1005,     -1449
     3980,     -4156
     1386,     -3662
      555,     -2305
    -4105,      1309
     1245,      -759
    -4591,      3855
    -1933,     -1084
     2728,     -1364
     -372,      -149
    -1654,     -3710
     1059,      1118
     4182,      -718
    -2318,     -1408
    -1879,     -1019
     2784,      -741
     1729,      -738
      757,     -2261
    -2298,     -2336
      501,     -5734
     1262,      4719
      661,     -1623
    -3210,      2553
     1390,       747
     -611,    -10626
      836,      1852
    -3372,      2713
    -2837,     -1119
    -2300,     -2285
    -1454,       168
     -851,      1811
     1408,       502
     -370,      -185
     -240,     -1205
    -5383,     -3604
    -8165,      4342
      135,     -5184
     4259,      2251
      400,      -777
    -1334,      2042
       79,     -3239
     2054,     -2244
    -4216,      4342
      560,       461
    -6098,     -4713
    -3704,      2136
    -2567,     -3765
       27,      4923
     -422,     -3399
    -4663,      1812
    -1044,     -2490
      771,       258
      990,       371
     -285,      2911
     1149,       993
     1661,      -684
    -3066,     -2942
    -4430,     -1264
     -470,     -5179
      334,       791
     1248,       976
    -1480,       767
    -2176,      -768
     3199,      1054
    -3075,     -1963
     -424,      1432
      667,      -782
    -1712,      1688
     1261,     -1809
      255,     -2353
     2113,        27
     4607,     -3225
      435,     -2735
      397,      1389
     1459,       427
    -6125,     -1248
     4052,     -2518
     -304,      2346
     -179,      -341
    -1531,       305
     -585,     -2103
     -763,       -89
     -251,      -219
     3615,      -552
     -208,      1089
      233,      -822
     -998,     -2872
      753,      -460
     1529,       441
     -281,      2319
    -2555,      1617
      -82,      1425
     -693,      1886
     -284,      2462
    -5260,      5524
     1150,       646
      153,       -70
    -1820,     -1378
    -1504,     -5629
     -741,     -1263
     2964,     -1202
      853,     -1252
    -2514,      5927
     1662,     -2632
    -1802,      1454
    -2564,     -1398
     1543,     -1448
     2637,       293
      -86,      -796
