real, imaginary
  7646507,         0
  -371226,     44204
   107951,    189919
   493993,    452302
  1983364,   1529101
     7588,    149775
  -592171,   -935635
   -67540,  -1020569
   238181,   -336726
   197510,   -307143
  -789233,    717184
   178523,   -490990
  1009515,   -332699
 -3233660,    171933
  -174828,    534988
 -1060382,   -411199
  -299868,   -140726
  -590156,  -1125056
  -176435,   -291261
  -320623,    417069
    39437,   -497323
   853851,    -69698
  -433177,    422881
   111108,   -167225
  -187824,   -214305
   346567,    223900
   -16767,   -391111
  -541481,    172114
   124947,    119828
   133839,   -157529
  -480596,   -637278
  -433242,    132054
  -235695,   -257901
  -138794,    -43561
   372877,   -528568
   -76725,     91865
    -2379,     58156
  -163844,     70092
   218178,    294916
    39039,    210784
   -91145,    -11894
    73805,     76239
  -187016,    -78408
   499361,     93788
  -120212,    196758
   159853,     29726
   142679,    206648
    24388,    -31122
  -175063,     61336
  -111052,    123274
    36064,    166629
  -237032,   -306826
   124445,    227192
    57979,    145869
  -361690,   -130280
   112467,    100184
  -109731,    182857
    85381,    169452
    89510,     61472
   114280,    -90383
   -96671,    300962
   157701,    235351
    16658,    247125
   -16132,    229807
  -115137,    -86208
  -176798,    -89582
   -86009,    174155
   -72769,    -44583
    93558,   -369229
  -101304,      6046
   176730,    122082
  -161328,   -165151
   194469,     67797
  -272754,    -66573
   105237,    131812
    90252,     87800
   -47710,    -52636
    60843,    -29748
   -66788,     73815
    43170,    161309
    13423,     56345
    88113,    -86068
    -6238,   -151167
    53044,   -111932
    53619,    118160
    85329,   -116491
   180598,   -184229
    -4980,    122019
    61796,   -101642
   -24081,    -48064
   -66274,   -138138
    81567,     67896
   103063,   -170535
    63042,     21668
   101418,     -2521
    43954,     -5611
    84061,    111798
   130733,    141257
  -168279,     39350
   156824,     37729
    78562,   -104551
   -79490,    106203
    20285,    -85886
   107714,    -44961
    -1013,     56678
    77616,   -144309
   105793,    -65884
  -198284,   -100677
    79914,     35088
   168164,    -46729
    29723,     39351
   -32947,    -12093
  -124643,     77085
    48192,    130021
  -119594,     38828
   -64691,      3778
  -172774,     13659
    98358,   -116035
   -63210,     47397
    31800,    -95787
   -41429,      8248
    -1170,     13371
    37600,    -42022
    12397,       855
   -36952,   -168553
  -193072,    -26440
    96873,     16215
    23836,    -88727
       89,    -32674
  -180687,    -50908
    -5006,    -34798
   -60162,     -6304
   -52687,     74269
   -67355,   -110525
    23448,    -24243
   -19077,     63569
   -66366,    -71986
     6298,     97108
   -25104,     38103
   -91740,   -154863
    81552,     36787
     6700,   -106966
   -47797,    -99571
    58770,    -43792
   179147,    -14902
   -38230,     28415
    39164,     -4733
   -10618,     52102
   -47910,    -45021
   -64934,     98521
   -90349,     26347
    49396,     50025
   -67563,    -42993
    -1436,    -31868
  -111263,    107154
    29033,    105085
     3930,    -92321
    71629,     55851
    15668,    -47834
     3172,     94084
    75690,     21943
    28638,     65697
    95951,     55527
  -100501,     50840
   -55402,     86171
    35618,    -55536
   -75621,     -6079
  -112849,     16155
    51696,     57454
      571,     33730
   -62121,    -29453
    24393,     31127
  -171202,    167434
     7526,     16147
   -13268,     -2745
    44373,    -21390
   -76734,     69106
    34417,    -83148
      717,     90214
    88364,     32108
    43345,    -65117
   -69995,     45941
    89020,      -288
   -51203,    -57263
    29195,     11069
    35767,     56628
   -62101,     18842
     -342,    -79271
   -33336,     26376
   -89999,     28788
   -31798,    -62689
    13907,    -49994
    30308,    -33474
    75238,     -6683
   126342,    -27585
   -31036,     15009
   107907,     53055
    70248,     56811
    73183,     42393
    -1500,    -67061
    43167,     13439
   -40002,    -45092
   107596,     37240
     7462,     46163
    33545,   -143143
   -42231,    -35947
    13333,     59678
    36588,    -24071
   -39863,    -61584
   111590,       -25
   -55515,     28794
   123956,     60042
    -7515,    -12271
   -28223,     41788
    -4472,     33594
    64911,     42546
    58668,    -44792
   -35553,     32698
    89384,   -128369
     1911,     93084
    19752,    111739
    36571,    -76893
   -53418,    -44217
   -71020,     35113
   -76421,    -60700
    -9768,    -16345
   -45754,    -41820
   -30866,    -89926
    28481,      4265
    -5806,    -14326
   -99816,    -12933
    52826,     -2481
    -8882,     37385
    41542,    -48925
   -42296,     61132
     2510,    -44933
    20199,     16005
   -73300,     23391
   -17942,     13497
   -57251,    -91182
   -18988,    -77758
   -47339,    -91606
   -13480,    -77925
     8266,    -78953
   -40616,       241
   144610,    -51803
   -70121,    -47806
   -42382,     23011
   -76375,     17324
    -9492,      2411
   118832,     -6025
  -114690,    -16458
    -5703,    -15921
    55483,     41683
    35102,     21699
   -76390,     10215
