real, imaginary
  7672673,         0
   122100,    -40239
  -202938,    226562
   153498,    245674
  -276070,    176395
 -2534148,   3502131
   396792,   -437767
  -717198,   -546095
  -279306,   -973749
  -210468,    604567
 -1028867,     88700
    -5218,    202655
   483696,    428279
    74397,    729623
    19447,   -690643
  -207062,   -670970
   356860,     67638
   -23809,  -1197060
   474847,   -606386
  -696675,    282747
  -405039,   -477256
   -84313,    240961
   157175,    586128
  -378532,    312416
   607696,   -411513
   379726,   -140528
    31630,    199957
   541138,    -17255
   216397,     86432
  -156584,   -135046
   182018,     -6009
  -160243,    -40291
    74246,    141661
  -165657,   -146666
   292153,     62135
    47808,    -63694
  -214584,    234332
  -309868,    422796
    64073,     11333
    50801,     80122
   -30784,    145192
    16353,   -192244
   -32507,     64200
    16551,   -129024
   -37903,    215384
   -31160,    -22209
  -193955,    -33504
  -264174,    -51436
   157565,     84442
    86887,   -199741
    94476,    -37109
   -67492,   -169207
   -84137,   -250931
    31058,     70344
  -358596,    156349
   -62587,    -70666
   145525,    -34759
    28069,     15574
    17749,    134027
   404418,    -78123
    60919,    129126
    53878,   -211044
   143911,    -96084
   -89960,     59447
  -172890,   -109251
    66675,    -58343
   163536,     85084
    12593,      3192
  -184401,     51143
    78344,    190462
  -108658,     48721
    62303,    115217
   -52513,     85585
    51527,    -39363
    47514,     37000
    86671,     -9443
    70897,     89933
    23809,    -37396
  -213373,   -164615
  -125251,     31523
   -37049,     -9864
  -110721,     89266
   -30771,    -59584
   113418,     16920
   -17690,    -34016
    19212,     39822
  -156296,    -14874
    45935,    -53663
   -13412,   -130252
  -108885,     -5320
    44417,     26984
    71031,     45288
    67864,     22648
   122152,    -31258
   130836,    -50219
  -113832,     14920
   -55324,   -251999
   102038,     65153
    39204,       799
   -69143,    -53628
    16855,     50942
    27761,    147724
   -58382,     20805
    60375,     72663
    15921,     73538
   -65291,    -45389
   135619,    -22849
    -6547,    141409
    99291,     80638
    14005,    -56413
   -12202,    -83077
   -62105,     30335
   -76780,    -78581
  -141095,      4249
   -21588,    -31381
   -13180,     43274
   -28794,     84846
   -49493,     36864
     2408,    124060
    39341,    -60234
    60037,   -100514
   -75607,    -48402
    23847,    -55097
   -70423,    -73925
    71656,     29381
     7792,     38624
     9091,      1192
   -37965,    -65157
      312,    -65219
    85980,     27741
     8337,    -50112
   -13491,   -115096
    41939,     94061
   -33125,     -6639
     3018,     81710
    41523,     61150
    -8039,     50359
    26686,   -120027
   112278,     26320
   -59978,    124004
    49755,     -6858
    85224,    -29008
   -36296,     91538
    -7433,    -27339
   -53280,    -30081
   -20510,     -9246
   -50745,    -23325
    23241,    -41435
   -75805,     78563
  -119640,     22484
   -15893,    138412
    50561,      9072
     6891,     23555
    17760,     -9288
    21195,   -120701
    39533,    -63769
     3099,     -6942
   -19384,    -20240
   -70515,    -53860
   -22249,    -43421
  -103527,     33016
    83597,      5637
    -7015,    -23561
    35592,    -42737
    57639,      -280
     6592,     -9149
   -16909,     56972
     -708,     39527
    15972,    -37755
    87059,    -30059
    -1337,       -22
     4259,     65923
    67098,    -83919
    70540,     57507
   -73851,     46852
    15600,    -35401
   -48282,     34610
   -22297,     36655
    25877,    -40134
    82388,     30540
   -69671,      3626
  -105353,     -4926
    54167,     54491
   -59379,     98756
   -67755,     -1806
    41724,     30877
    16434,    -56147
    38315,     25737
    35408,    -36952
    18996,    -12308
   -26796,   -102364
   -81983,    -64831
   -82697,     18751
   -36061,     -7813
   -34204,     -9343
     9102,     12829
   109112,    -14066
   -28586,     59405
    16313,     -6703
    13619,      5998
    73821,    -37164
     6438,    -31306
   -22127,    -38693
    46409,     15331
    61417,    -42751
    20615,     32483
    17746,     23407
   -42113,    -46049
   -38681,     38812
   -55916,       773
    78560,     48177
    13338,     51116
    -9811,    -23540
    10961,     14622
    84966,     68559
  -113192,     31676
   -16547,    -35876
    27349,      1340
   -70129,     13292
      381,    -14804
    41559,     77196
     7462,      8959
    27435,    -66981
   -27462,    -51714
   -48414,     48402
  -102320,   -113751
   -19731,    -13564
   -11155,     10871
     9108,      9299
   -36854,     38336
    11405,     27776
    53672,     20332
    54247,     -5314
    14331,    -93317
   -15649,    -20938
    57992,    -64363
      628,    -10758
    45857,      5152
    13328,     38540
   -45846,    -71807
    -9734,     12262
   -29894,     20778
     7670,     50050
    23519,    -16066
    -6117,      8113
    81372,     86033
     8242,     55001
    -3143,     25619
    28143,     -3207
    45515,    -45935
   -83770,    -31815
     8802,    -37363
   -47911,     89564
    -6454,     -5159
    22526,     -9701
   -19117,     92571
