real, imaginary
  8458687,         0
   393257,   -689780
    15125,    425080
   111341,    173985
  1223629,  -1026103
  -242178,    767630
    35583,     50122
   801234,    134989
   558121,   -307308
  -324143,    996768
  -190422,   2195765
   266158,    -39019
  -255052,   1231107
   285522,  -3046138
   -28472,  -1030547
   -20523,    175266
  -397401,   -160609
  -796847,   -932145
   218787,    198269
  -225608,   -437030
  -530310,    139479
  -348695,   -698216
  -101665,   -212545
   138349,    301565
  -386861,    116012
   -40199,   -401745
    25147,    330551
  -639997,    243710
   253089,    -88689
  -341411,    336003
    -9649,   -174998
  -340836,     45346
  -180837,    -98685
    15405,   -546472
   438187,   -674061
  -189850,   -136652
  -428255,    217969
   -35848,     68792
   -94559,   -148970
    68870,   -152599
   434099,    145605
  -225277,   -501069
   272117,    -63659
   188585,    -54490
  -256696,     97536
   355397,   -181712
  -183424,    -98645
  -256378,   -260031
   -19078,   -237445
   -27095,   -233361
   -66907,     37672
   -34057,   -420793
  -120503,   -290178
  -140231,   -250771
   229495,     49668
  -143838,   -167982
   -62595,   -149797
  -233218,    404515
     2420,    -15526
    92106,   -148489
   365464,    -18644
    59880,     59674
   145641,    -58790
  -233878,   -102276
    42304,    105330
   -92259,     15193
    32116,     53473
   -73276,   -232564
    45640,   -264296
   119194,     49401
    81556,    -24898
   -63671,     90602
   184049,   -118477
   174736,   -299254
  -158583,    200070
   177802,     21425
    57313,    -68010
    40395,    -17998
   -23582,     83190
    49019,    -83460
   241161,   -193422
    -4650,     59594
  -150411,       590
  -185916,   -136053
  -120424,    -69670
  -234858,     31818
   -18309,     49231
    16093,    -43997
    87266,    -41264
   -13602,     -8223
   111152,    103141
  -209517,    103342
    99644,    126981
   -56073,     37487
   207327,   -187028
  -129396,    101763
   -27501,    244919
   101016,    -86184
   -70628,     -7164
   -11160,     72158
    61945,    -98595
   -57374,     42701
  -155658,    -62734
  -130414,    -72831
   -16535,     58811
   -49779,    -63052
    -2404,    -73467
   147886,    136987
    52899,   -109506
    35759,     26485
  -103903,    -77496
     4923,    -70615
  -129090,     32246
  -228499,      4881
   165985,   -136208
    28883,    -70043
  -192812,     98810
  -255473,     28854
    44536,    -24906
  -156868,    -87617
   -32520,     -1801
  -105700,     38414
   -72428,   -129402
   -85393,     11610
    -5950,     73277
    -9273,    -19818
   188736,     49410
   -21380,    -55042
    33014,     32983
    47934,     -7352
  -135435,   -147523
   -46051,     34029
    25704,   -119260
  -164050,      7718
   -15970,    -50421
   163761,     82005
   -45606,    -91145
  -135785,    -39443
  -132852,    -63875
    58457,    -67951
    42938,   -136605
     -740,    -32814
    64306,    -65775
   -26553,    -14703
   -25725,   -111971
   -14112,     17837
    94567,     31959
   -36568,    -38344
   -77750,   -102300
   -49203,    -98433
   -52866,     55275
  -146125,    -51378
   -63069,     35700
    70028,     18121
     2307,       -88
  -114934,     88104
   161549,     31068
   -14539,    -95339
   -52501,    -91312
    45196,      5927
    48934,    -75668
   189937,     48736
    19084,      1775
   -30931,     82940
    28012,    -92948
   -25546,    -18360
    18534,    -26440
    10169,    114707
   -23856,   -122200
   -29352,    -80217
    25431,     -4200
   -92500,     94913
   -87114,    -80138
    99741,     96701
    45880,    -15137
    16241,    -99658
   -59372,     -5449
     6467,    -31623
    60896,    -56919
   -95928,    -70632
    -8817,     56066
    61022,     73493
  -100281,    147136
   -55654,      4276
   -73270,     -1392
   -40685,     80462
   -14381,    -82178
    -9924,     78034
   -31181,    135751
    17392,    -50531
   -19686,     11927
   -21572,     51262
     3229,    -39120
   -48019,     93969
    56716,    -68301
   122119,       260
     8998,   -130455
  -109192,     36014
   -31398,    -23056
   -23137,     40870
   -31700,    -20657
   -15747,    116982
  -118809,     78162
   -52869,    -83129
   -22392,    -44760
   -56458,     -3614
   -42899,    -64118
    31542,    -15630
   -68974,      -729
   -77408,     58968
   -78351,    -42958
    11607,   -128312
   -59147,     61160
    10652,    -41398
  -151036,    -24856
    90992,     46567
    27122,     18320
  -119614,      3760
  -106451,     13398
   -90152,     59223
     6884,     49254
    23661,     62873
   -33337,    -25950
   -12524,     -3176
    10774,   -133131
    38501,    -52526
   -26025,    -29977
   -10969,     -2545
    33383,    -43888
   -92018,    -21427
   -14851,    -76620
     -377,    -47381
    27302,    -44859
    16212,     -3205
   -38631,    -23772
   -14988,      2651
   -85768,     50680
    37205,     22505
  -142765,   -112545
    -5134,     -8967
   -75035,     31672
    14122,    -74584
    83656,     41525
    11330,    -63021
  -137818,    -97653
    76642,    -59806
   -53491,    -41259
   -27236,    102129
   -56749,     53360
     1955,    -22165
    61434,    -17398
    29185,     46597
   -15440,     31505
    59179,     24220
    56111,     99080
   -54709,    -32571
