real, imaginary
  6863821,         0
   276164,    185518
   360952,   -165387
    -9494,     37756
   714964,   -259063
  2072520,   1040092
   522278,  -1707691
    49982,    -38294
    57093,   -254899
  -414744,   -121276
  -955772,    279018
   688513,   -326841
  -150029,   -386074
   114936,     13363
    19536,    128996
 -2262728,   1655730
  -679623,   -640907
   195513,   -466733
  -115013,   -384295
  -289591,    167473
  -567032,     81509
   561585,   -830090
   -75044,   -209931
   -24138,   -201823
  -308470,   -319992
  1296707,    342815
  -337599,   -385632
  -440755,   -505073
  -406782,      8757
  -115068,     26525
  -161512,   -206745
   176178,   -629176
  -223004,   -197997
    14576,    -79078
   195024,    404213
  -404524,   -423457
   278597,    495889
  -359486,     29581
      422,    -48376
     -778,   -113855
  -395981,   -327949
   204598,   -325716
  -101362,    -90835
    -1015,   -134361
   -11241,   -641546
   305327,   -144516
   445698,   -458531
   -70426,    153179
  -155632,    206220
  -162279,   -144976
   -17617,     29397
   162923,   -268416
  -139100,    -18602
    44746,   -122079
   -18995,    168168
   145751,   -204486
    39061,    302253
   111282,   -261910
   254531,     59419
   -35557,    119356
    -8169,    -43411
   -95441,    -77867
    15997,    -73486
  -222413,     41440
    32736,   -279228
    59153,   -221104
   260865,   -108405
  -392560,   -111765
    95019,    114178
   211919,     42758
   122167,     77617
   -85242,     67530
  -185197,   -158359
   158014,    201137
   135079,     60562
    17789,    -15908
   -66653,    147846
  -105625,     88352
   124062,   -166114
   104097,   -134984
   -42528,     48146
  -190246,    114154
   -43165,     42232
   -52533,     -8807
   -71265,   -221503
  -150099,     25855
    -8591,    -85133
   -26392,     28313
  -152592,    153842
   -20931,    -93347
    55477,      9763
   -77497,     23267
    14557,   -190584
   -12658,    106946
    54644,      9552
    96582,     -2618
   -95929,     67355
     4473,    -86259
    63546,    -14387
   -68133,     51689
  -188013,    -71250
  -136567,     12795
   -44284,    -94936
   -32957,    117380
  -110565,   -147146
  -279608,   -107359
    67320,   -194947
    23993,     87980
   -91190,     68042
   182377,    -32816
  -150587,     28205
   -49795,    -94171
   -89349,   -100211
   100676,    -41350
      -83,    -46910
    43893,    -81216
  -143373,   -116286
   169973,    -40523
     2510,    -67335
     7653,   -162278
   -24867,     72660
   -81324,    115217
    30990,     97927
   -96728,    -96126
   -57929,    -30939
  -281736,    -82817
    76093,      4979
   105609,    -94928
   -65247,       314
    72239,    -71696
    16174,   -112592
   188610,     68634
   -51515,    -60159
   -69610,      3085
    12108,    -73851
   108516,    -12030
    -4847,    -45386
   -71273,    -44000
   -29903,    -58185
    15918,   -106326
      182,     25433
   115933,     -4610
     9934,    204568
    40678,    -25688
   -47354,    144214
  -197432,    -96944
    45559,     86999
    55269,     30054
   -48299,    -22610
     5437,    -50383
     3003,    -90672
   -32897,     24124
    72622,    -56695
   -86770,    -79617
   120803,      1449
   -25986,     77617
   -47863,     20400
   -48784,    -63997
   -15344,     18185
   -98265,    -17317
     8949,     41652
    37522,    147161
   -30768,    -44746
    48237,    -25603
   -16155,     74535
   -99082,     74636
   -12615,    117361
   -17946,   -113595
    34004,    -69364
   -72750,    117024
   -51616,    -68673
   -15247,      3929
   -89498,    -43251
  -160346,    -81836
    12471,    -21745
    65641,     19899
   -47700,    -39806
  -145580,    -33900
   -60471,    -12358
    12605,     14175
    38492,     11691
   -17648,      3255
    56438,    -13354
   -10724,     75712
   -35903,     30050
   -92463,    -42251
   -75078,     21184
    75285,    -63374
   -18091,    -50673
   -97244,     17606
   -47038,   -149173
   -48431,     39222
    30093,    -86228
   -91264,     46692
   -64597,    -48568
     6164,     48096
   -56941,    -76615
   -22422,    -73075
   -87975,     43162
    -8290,    -11908
   -19964,    -49536
   138715,   -106854
    32505,    -69578
    85882,     29360
   -33917,     63257
    70885,      3124
   -89081,     37995
    16759,    -70490
   -11314,    -54770
   -61633,     76881
   -40988,    -42661
   -95294,   -108291
    62076,     42072
  -124478,    -15024
    67797,     -8748
    89131,    -24034
    24196,      7885
   -49898,     96393
  -165486,     41528
   150646,    -30117
    -1522,    -33976
    -1656,    -40550
    -2851,    -93908
    35119,     49435
    30051,    -61177
    87378,    -25613
   -53004,     79759
    60980,     35377
    -9539,     43448
   -74174,    -29901
   -29311,     80013
   -56562,     23157
   -51590,    153600
   -55861,    -91418
   -45150,     40568
    18908,    -71330
    80793,     18965
   -52610,     65660
   -59615,      8827
    38820,     77700
     2507,    -37111
   -33391,    -72430
     8127,    -23286
  -108830,       145
    63913,     44576
   -27263,    -19861
   -82324,     -8585
   -36031,      8767
    23002,    -34380
    32721,     66039
   -57494,     94884
  -133770,     14757
   -12298,     57537
    27680,     27977
   -35399,     26443
   -81438,    -57102
