real, imaginary
  8989208,         0
   382017,   -494992
  -344847,    403194
  -184629,   -212800
  1308711,   2890476
  -621932,   -161018
   828716,    107145
  -654920,    397617
   129541,    772173
  -309383,  -2007926
 -1194722,  -1095000
   665769,   -545387
   674885,   -126785
 -1263014,    920044
   -87981,   -581756
  -581488,   -543270
  -275113,     39044
  -667002,   -569888
  -161060,    304555
  -276339,     74085
  -107870,   -859226
  -498860,   -493965
  -461197,   -119908
  -150409,    330305
   -82821,    349581
  -240632,    642769
   124007,   -290323
  -108540,   -548098
   -58470,   -440963
  -235612,    219306
   -94461,   -295957
   160946,   -299772
   138439,    280693
  -194458,    153127
   -79838,    -87841
   512978,     49555
  -137491,   -503056
   149219,   -231560
   -91528,   -424602
  -738190,    -33531
   -86489,    121626
   398754,    120664
    83673,     47750
   214146,   -124254
  -110086,     15789
  -267086,     77827
  -489476,    -10811
    80544,    -89849
   221739,    119038
    72059,    269803
  -219042,     47300
   138557,     86165
   135438,    253594
    26645,    -46805
    48083,     74304
  -103837,    268133
   -83257,    108505
   114065,   -136809
    19970,    302935
   147559,   -191296
   -12235,   -175519
   -24398,    282588
  -103467,    177329
   -77879,     97840
   161669,    152038
  -148454,    -69652
  -146196,      2936
   -61650,   -226680
   -50482,     84010
  -186080,    254881
   -77683,    185538
    -2589,     58578
   -28328,    100216
    53120,     47418
   125574,     42222
  -317823,     80455
  -195160,    -63398
    -2933,     73096
    60397,    101019
    -3973,     38332
   254885,     98061
     2206,    102365
   -44411,     -2343
    -2811,   -139074
   -57560,    -96876
    75426,     53586
   -88697,   -118995
  -132897,    106550
   228700,    -24505
    73036,    -50804
    33508,    -72010
    -3596,    -28322
   -95811,    -58570
    -5543,     -4573
    -6715,     75344
   -30826,     47864
   -21178,   -160003
    84889,     17064
   -10251,     62599
   159342,    133266
   143517,     49554
    33083,       207
   -33120,    -48489
      263,      6553
    36624,    -42516
   139279,     69130
   113516,    181920
   110763,   -148605
   -24923,    -85816
   195250,     46673
    79304,      2719
    83939,     88446
    -7674,    -44953
   -76686,   -103678
    19749,     42686
    21331,    -53716
    42901,     63155
   132913,     -4055
    53464,    -25857
   -45517,    -28990
  -121676,    109269
    49395,     24346
    54351,     71478
   -66646,     10156
     9305,    -65614
    42939,      3725
   -46848,    117725
   -33938,     32664
   164207,     33077
    35521,    -26592
    69025,      8475
   -49496,    -10276
  -106868,     65322
    -7874,   -127777
    -3882,   -101942
    46206,     86865
    99872,    -34097
   -63504,    -30695
    85891,    -17652
   -35469,    -86705
   -84400,   -150424
   -70667,    -94588
   -60529,     84009
  -139824,     44156
    11741,    -96442
    73676,     -5985
    18078,    -71211
    56277,    -66093
   -27677,    -56741
  -158408,     15781
   -29159,    -40575
    12576,     91431
   -44644,     -2078
    44130,    -41181
   179440,   -104526
    41055,    -91692
   -79882,      -263
    43810,    -33774
   -32899,    -33777
    30844,     59509
    -9893,   -127695
    62818,    -13169
    28396,     -2064
   -80200,    -90791
    10691,    -59369
    67883,    -54701
   -34119,    -81044
    41055,     42779
   -62312,    147387
   -47578,    -54644
   -22494,    -94944
    29682,     14498
   -77497,     17496
   -25360,     11168
    10348,     93443
    75007,     58635
    38045,    -16801
   -22498,    -65980
   -28016,     48988
   -97565,     67767
   -22234,    102716
    60877,    -39950
   -34660,     53469
    69529,    -38632
    19886,    -53163
   -78215,     49495
    57455,    -11067
   -13372,     -8438
  -117973,     79056
  -160590,    -44122
     1002,     25646
    26064,     12803
    24024,      5395
   -41991,    -24937
   -82739,    -25780
   -91374,    -16943
   -67102,     53263
   -46626,     93578
    41702,     33895
   -80474,     36201
   -84372,     -4643
   -36468,     18381
    60211,    -45958
     5689,     -7303
    57036,     69142
   -56673,    -14131
   -83461,    -19299
    34273,     65056
   -24674,     -2344
    24818,     40066
    36689,    -98043
   -32620,    -39555
    64837,    -19157
   -18295,    -11087
   -72350,    -57036
    27441,     25072
    -3953,     45563
   -22624,      7720
    -5783,     22425
    29629,     39295
   -40493,    -80365
    16515,    -30622
    -7628,      5765
    63150,     55423
     4579,     77208
   -22259,     93481
   -10264,     21043
    64789,      2789
    95083,     23036
    30374,     10224
   -59080,     70569
    93859,    -64999
    13702,     30141
    68569,    109580
    93937,    -45167
    44421,      6100
   -58019,     65010
   -50164,    -30597
    36378,     58385
    29967,     -1205
    39670,    -15871
    67145,    -29547
   -32361,     27006
   -46370,    -13006
   -17353,     99229
    -9080,     94868
   -32772,     13214
   -25065,    -14647
    73721,     67170
    30887,     71721
   -17099,    -40443
   -17485,    -60129
    66292,     28514
   -97742,      9127
    23659,    133336
    75162,    118059
