real, imaginary
  5880786,         0
   -14050,   -101994
   617136,   -439570
 -1715644,   -121217
   409585,    468050
 -2393628,  -1413329
   514234,   -938185
  -892813,    608596
  -842834,   1242771
  -114573,    667467
   896844,    456668
   -34922,   -835909
  -328857,  -1255520
  1185095,    696102
   681091,    433474
   488604,     31023
  -482244,    156009
  -158150,    950900
  -201855,   -220904
   -61503,   -213508
  -113468,   -128390
   -65476,   -611795
  -230760,   -552534
  -378504,   -461939
   372815,    273431
   173894,     -4776
   -89785,    430311
   121990,    183256
   149252,    290179
  -372755,   -235682
   -11527,     79990
   343736,    434692
   -70955,   -144219
  -338831,    -56932
   -91696,    169560
    73278,    218111
   315770,   -583600
   244492,   -124460
    71548,   -135350
   -95898,    -95941
   -73881,      4167
    -3927,     63710
   -45993,     32678
   -76191,    -74017
  -175442,    177478
   109312,    -66551
   -79545,     27114
    31096,   -149094
    81374,    134081
    26822,    212606
  -237767,    125721
  -114566,     89070
    69273,     57010
    -9717,   -131024
   324207,   -389581
    75813,    -48998
    -3301,     34640
     9876,     50586
   227507,    -23623
  -127369,    -17121
  -119621,     45128
    44255,    144384
   -83301,     41689
   -71363,   -106709
  -200133,    -72395
    12996,    -88565
  -168629,     16949
    10110,    159673
    -5367,      -516
   144049,    -77815
    42128,     25040
   133965,     -6879
   266163,    -28430
   -97722,    121762
   -76709,    176133
    -7395,    -89220
    -7214,    -67461
  -245880,    -96630
   116512,     17369
   178651,    -51583
   -51199,   -136480
  -102700,    -67936
   -38241,      6166
   -24846,     90530
   -85319,     33729
    43841,    123708
   -44935,   -104627
    -4845,     31191
    36305,     23234
   173581,      8863
    75254,    -10778
   -99293,    117652
   -63581,     83310
    36838,    -74127
   -21362,     59198
   -10396,   -116429
   129595,    -10576
    20484,   -101253
  -150432,    -50071
   -54439,    -98664
    28568,     35500
    17190,     18811
    59081,    -61194
   -10399,     97134
   -18687,     65101
    11842,    128805
    53384,    -28904
   -87344,     43083
   -87591,     28244
  -122249,     52758
   -12408,    -50746
   120320,    -62482
    98475,    -62802
   108237,   -118609
    58982,     77604
    56389,     49737
  -103453,    -38963
    -2958,    -47462
   -53685,     98605
      362,    -42567
   -23719,    -61661
   -60127,     99468
    20265,     19223
     1442,    -98448
   -17124,    -29253
  -129747,     93968
    57779,     54982
   -26676,     16515
    65435,       -93
    69805,    -23997
    41544,    -36522
    17337,     26868
    38360,     78583
    24666,    -35495
  -107460,   -129267
    30715,     41965
    10476,     63984
    68561,    -24923
   -32876,     -4888
   -55447,     81174
   -89142,    -84057
   -51384,    -96167
   -55971,     46098
   -35283,      3571
    97279,      2624
    32774,    -16874
    64704,     48268
    42496,      -224
    66900,    102318
    -1418,     45571
   -35635,      5658
  -106985,    -34864
   -56139,    -41333
    54870,     38964
    45011,    -71803
    51785,    -52967
   -13425,    -71271
   -74569,     24067
   -17784,    -81133
    68535,      4947
   -25977,     30757
   -45108,     32137
    39880,     85360
     4567,     23778
   -64510,     18839
    23234,    -23126
    22657,     53815
   -32780,    -78205
   -66629,     10719
    32768,     28610
    91701,      -513
    58616,    -26865
    26707,    -10382
   -21188,       827
   -43560,    -52343
   -93839,     -4757
    76169,    -96736
    22951,    -20380
   -45920,     18321
    -6630,     99713
    87161,     64436
   -56600,    -20190
  -113345,    -16730
    24469,     22701
   -59161,     32796
   -43271,    -46100
   -12734,     24175
   114518,     -4932
    34859,    -55912
    70205,     -7248
    39730,     35854
    -2065,     -7730
    -8969,    -13353
   -29341,    -18265
    38539,    -11117
   -74780,     31053
   -22422,     76015
   -18742,     -9748
     5897,    -54255
  -120909,    -94520
   -20411,    -43181
    62051,     44406
     4963,     37031
    34624,      1194
    12681,     31922
    27493,     92682
    -3019,    -13250
    67362,     19192
   -53381,     -8115
   -30393,    -23310
    13195,    -55788
     6068,    -26543
    19791,     34389
    33078,     22303
    18644,     12422
   -60241,    -78267
   -52654,     -1070
   -49799,    -83532
    24151,      1521
    21882,     35813
     2459,     25413
    -2993,    -16995
   -15738,     75057
    29650,     87767
    78290,    -77268
   -10467,     22629
   -91518,     33052
    -9287,     35964
    44712,    -50137
   -25009,     23268
    18764,    -19389
    46491,    -49643
   -31603,    -51204
   -17252,    -65124
    33449,    -16404
    52748,    -53896
   -16240,     78565
     9581,     79527
   -62494,     63168
   -46069,     15192
   -35474,     55542
    -6682,    -54983
     8787,   -101567
   -61123,     48571
     2539,     36092
    60277,    -13526
    97379,    -20254
   -33815,     29813
    53973,    -16848
    19741,     24347
    -9247,    -15579
   -17769,    -70208
    -9651,    -36494
     2452,     24113
   -35233,     42301
    18167,     24808
