real, imaginary
        0,         0
   -10581,     10105
    -4587,     -4365
     3988,    -13969
   -36969,      9044
   -58053,   -153951
    -3773,     15789
    -5924,     -8252
     2169,     16381
   -18088,    -12659
    15147,      4831
   -11614,     -5703
    19549,      3919
    18657,     22050
    -2152,      -981
     2653,     -9280
   -19518,    -15247
    15791,    -15618
    15466,      2178
      -16,     -9435
     6099,     19460
    10486,     34311
    17697,    -15217
    30784,      -903
     -715,     -3233
   -13559,    -12016
     8384,     -9470
   -11709,      9282
   -12809,     15905
    16969,    -12834
    -1360,     -3179
    19859,     16228
     -929,    -16083
   -11155,    -10736
     7694,     16290
      548,      7904
     9038,    -10675
    -1881,      9381
     7561,     -7997
    -8602,     13480
     8118,     -2070
    -2555,      5543
   -10278,      -688
    -1136,     -7886
    -1089,     -3322
     6297,     -4485
    -1156,     -5224
    -5716,     -4942
     2635,     -7749
   -12031,      -404
      720,      -834
     3296,     -6911
     -463,     -7985
    -1103,     -3167
     1924,      3928
    -8792,     -1862
   -12238,      2261
     4269,      3269
    -3470,     -2768
      548,     -2337
    -8082,    -10608
     1401,     -7707
    -8414,      3448
     3434,      4195
    -9950,      7170
    -5644,      6087
    -7560,      3257
    -6104,      -218
   -15916,      2859
     1829,     -2302
      -14,     -3082
      388,     -1930
    -6898,    -11577
     7820,     -5825
     8967,     -7755
    -5689,      3493
    -4245,       317
      798,      1453
    -3505,     -4855
     1291,    -14120
    -5773,     -8421
     1949,     -4858
     1077,      1687
      335,      7645
    -1934,     -1976
     -720,     -1461
    -4938,      5858
    -3480,     -1807
      280,      5585
    -4377,      6667
    -4462,     -6872
    -6163,     -2487
     -162,       258
    -2367,      1080
    -2761,      2539
     6351,     11588
    -6519,      4822
    -2104,      4315
     -154,      8607
     -457,     -7742
     2982,     -3186
     2800,      1441
     3291,     -1647
    -2838,      -796
      957,      -961
     2492,     -5027
    -2905,      2881
     2590,      3958
    -2931,      6161
    -4058,      4364
     3366,       519
      638,        34
     3965,     -1613
     1486,     -3186
      817,      -400
     4492,      3765
     2132,      2198
    -2644,      2414
      363,     -2966
     4518,     -5545
     3201,     -4755
    -8506,     -6191
      212,      1397
     -825,     -7880
      811,       991
     1455,      1136
     4870,     -3191
      451,         4
        0,         0
     1053,       -73
    -5267,       162
     1490,       910
    -1610,      8503
     1614,     -2185
      418,      2965
     3442,      7189
      936,      3663
     3297,     -2807
     -245,     -1359
     1634,       715
    -3071,      -338
    -2731,     -4271
     -658,      1484
    -7009,     -2016
      781,      -740
       -7,     -1663
    -2401,       770
    -1000,      1535
     4114,     -4608
    -1304,      3921
      551,     -2301
     4333,     -1337
     1245,      -759
     4827,     -4055
    -1933,     -1084
    -2757,      1450
     -372,      -149
     1894,      3778
     1059,      1118
    -4361,       861
    -2318,     -1408
     1945,       954
     2956,      -914
    -1722,       735
      757,     -2261
     2352,      2461
      367,     -5988
    -1463,     -4875
      661,     -1623
     3250,     -2657
     1390,       747
     1056,     11052
      836,      1852
     3463,     -2840
    -2837,     -1119
     2409,      2438
    -1454,       168
      850,     -1810
     1408,       502
      278,       303
     -240,     -1205
     5775,      3876
    -8280,      4788
      -20,      5425
     4259,      2251
     -405,       777
    -1334,      2042
      -85,      3240
     2054,     -2244
     4287,     -4659
      560,       461
     6447,      4717
    -3704,      2136
     2542,      3967
      -67,      5135
      339,      3537
    -4663,      1812
     1046,      2492
      771,       258
     -907,      -542
     -285,      2911
    -1203,     -1064
     1657,      -677
     3274,      3154
    -4430,     -1264
      272,      5324
      332,       789
    -1252,      -976
    -1480,       767
     2316,       780
     3199,      1054
     3183,      2095
     -424,      1432
     -666,       776
    -1712,      1688
    -1271,      1807
      255,     -2353
    -2135,       -61
     4863,     -3207
     -462,      2828
      397,      1389
    -1468,      -435
    -6432,     -1528
    -4204,      2427
     -304,      2346
      231,       306
    -1531,       305
      490,      2225
     -763,       -89
      210,       257
     3615,      -552
      204,     -1089
      233,      -822
     1069,      3006
      753,      -460
    -1625,      -530
     -281,      2319
     2720,     -1634
      -82,      1425
      724,     -1875
     -284,      2462
     5736,     -5662
     1150,       646
     -164,       -41
    -1820,     -1378
     1317,      5998
     -741,     -1263
    -3146,      1153
      853,     -1252
     2860,     -5935
     1662,     -2632
     1943,     -1471
    -2526,     -1523
    -1670,      1505
     2664,       311
     -183,       788
