real, imaginary
  8622742,         0
   481798,    115526
   475516,    258262
  -505694,   -608926
   192439,    -43653
  3462658,  -3423107
   -97937,    200657
  -459899,   -498462
   212550,    607088
    -5268,    564018
   240637,    226927
  -204732,    331534
  -260084,    316338
   674340,   -404441
   -17826,    253494
   630062,    878527
  -106601,    -78613
   401499,   -281295
  -490899,    126364
  -586805,    -73334
  -256651,    370810
  -145309,   -199688
   -74240,   -243260
   261973,    494846
  -222894,   -142647
  -119169,     82503
     1678,    -55729
    63239,    184540
   -61290,   -325796
   120190,   -535497
  -330042,   -267377
   230948,     47323
   126842,     54317
  -225714,    113876
   249110,   -114012
    18524,    228550
    24493,    -75188
     7796,    -14768
   112111,    -72978
   377732,    127490
   197927,   -227863
  -123869,    128473
  -146624,     48038
   -53315,     49952
    48794,    254541
  -241462,    -23206
    74778,    -28040
    36433,    104724
    74248,    -84810
  -108413,    266252
    77840,     65057
   -28798,   -118433
   -11415,   -106486
  -229778,    -83497
  -217458,    -23180
    51803,   -135702
    51320,     44827
  -107588,     21309
   168152,     54793
  -149970,    -75872
    57488,    -30193
    41620,     29549
    15309,    -18072
   139487,   -241263
    34777,   -135718
   -18587,     78955
     5633,    109425
     5048,    -39455
   -22496,    182509
    36350,    -64319
    38861,    122977
   -44270,    -53959
    56811,    -49603
   152869,    161359
    79677,     24397
   -52674,    -83633
  -145056,     48720
   -42282,     12096
  -144027,     72814
    14546,    -30267
  -112008,    -10103
    97921,    -36828
    55947,     71288
  -142240,      9820
    -2966,     21697
    87461,     -6659
   -70000,   -128129
     6809,    -92326
  -143848,   -106277
    58478,      1883
    45909,    -28920
     7897,     68401
   -38898,     50517
    94164,    -75597
    -8129,     28115
    -7600,     43533
    71699,    -47297
    99378,     34669
    83360,   -145969
    -5978,     77875
   -75822,     72513
    -6483,     24516
   -36056,     27302
    10840,    102857
   -38808,    -21308
    21597,    -15920
    33575,      4458
   -39132,     81063
    99712,     73115
   -80327,    -28543
   -61441,   -129846
   -50416,     51875
   -94122,    -38352
   -42377,    -13392
    38475,    -43639
     5901,     37407
    65684,     30088
   -42933,    -45885
   -39584,     21883
    40103,    -37722
   112806,    -42971
   -71912,    -77814
    53023,   -126303
    -6657,     28201
    43988,     56995
    -2182,     17040
   -18734,     81483
    46568,    -11423
    32678,      -106
   -23194,     16345
    15348,     41858
    59514,    -39249
   120557,     70313
   -86788,    -43101
   -62192,     43257
   -34250,     40801
   -62515,     -7919
    -2535,     37685
   -32885,     34192
    15507,    -68925
    26391,     24864
   -16630,      2380
   -54269,     84821
    47147,    -88556
   -27322,    -61395
   -59167,    -62607
   -13057,    -31733
   -32830,     -8961
    17499,    -42405
    85381,     40892
   -34900,     64656
    61645,    -51328
   -42788,    -26345
    50529,     29504
    46024,     -6960
    52629,    -55286
    13064,    -30113
    10735,    -12835
      886,     81382
   -37269,     75069
   -61640,    -33366
    54952,     98407
   -12258,    -24057
     -299,     -4050
   -20230,     17427
    41153,     26808
    34658,     20647
    -4427,     -6286
  -111593,    -50027
   -49790,     -5046
    11443,    -24989
   -86523,     43660
    22887,    -39931
    41774,     21289
     5964,    -38229
    23960,     20739
   -58727,     12033
    19403,    -13555
    75200,    -90085
   -34981,    -37874
      -85,    -28988
    -2811,    -33864
    46631,     39288
   -13579,     61862
    35129,     25306
     -809,     53122
    17951,    -76586
      442,     36818
    32321,     57929
    35018,    -55878
    53234,     -1073
   -10190,      5747
   -49660,     53555
   -61795,     26237
   -18374,     18062
   -58739,     16190
    66609,     38018
   -35031,    -21011
   -17533,    -30925
    39988,     24672
   -22397,     56602
     3502,    -49676
   -33204,    -46772
   -57685,    -60865
     9604,      5472
   -26268,    -42586
   -13491,     37027
    52097,    -24897
    56971,     31047
   -11252,     18245
   -26227,    -40519
    38764,     19447
    39536,     -6680
    59550,    -78874
   -36571,     26095
    24314,    -33209
     -940,     40539
      647,     70809
   -40003,     46263
     6383,     10984
    43473,     -1112
   -24371,     -6093
   -28705,     22043
    61174,     40726
   -22082,    -35358
    40420,     12705
  -102041,     14346
   -66256,    -13857
   -19340,    -19944
   -24742,      5121
    -6038,     27847
    49588,    -22816
    -1592,    -48209
    -3031,     36929
    12072,    -11440
    -5898,     31533
    -4514,   -115056
    27266,    -46750
   -30134,      6227
    17899,    -30020
      631,      4564
    29738,     61319
    59489,     17668
   -13005,     32126
     2245,    -35546
   -23640,      4685
    79833,     21143
    23375,     19591
   -13909,    -68013
    21037,     39346
   -25472,     18995
   -54533,     34938
   -30536,     48813
   -53386,     -5227
    69835,      9587
    -8434,    -17213
