real, imaginary
  7326393,         0
   190573,   -136784
   220362,     24509
   250119,    114268
   485910,    323570
  2293698,   4163970
    37396,   -580994
     7187,   -143232
    85714,    -82209
   110543,    163599
  -601463,    792460
   238360,   -411480
   197832,   -201631
   268753,   -126649
   375073,   -138398
  1181462,     53338
  -344037,   -379687
   -36714,    -60529
    59478,    -36693
   217103,     69455
   271607,    636107
  -167622,   -587657
   -73015,   -215681
     -305,   -186725
    14870,   -180344
     6936,   -344904
  -272596,    -49875
    69587,    -10671
    64416,    -59090
   206219,    -96544
   380361,    149864
  -583300,   -241377
  -155581,     42997
   -79480,    -25233
   -55554,     66851
  -235019,     68330
  -145866,    -80470
    41134,    -68623
    -1424,    -88791
    17840,   -121309
   109335,    -88102
  -403021,    281084
   116940,    152772
    25513,     33715
    88559,     83969
   -40325,    240041
  -263177,    -68421
      161,     -1808
   -29750,    -14083
   -51859,     10961
   -35774,      4418
    52960,    248705
   231506,    -77358
    24853,    -27521
   111327,    -22659
   101301,    165060
  -248458,    151884
   130342,     16671
    13959,    -14946
    51751,     62190
   -18144,     49617
   101732,    -66538
    51499,   -194110
   -12232,    -23029
    45731,    -41937
   123813,     40295
     -715,    207069
   149656,   -161119
   -33310,    -35648
    85077,     -1204
   -19249,     69520
  -127284,   -109884
   -42866,   -120446
   -14834,      8250
    21723,    -30120
    37219,    -56134
    96098,     -8773
   -51281,   -221921
   -73180,     49977
    55187,    -41464
    16588,     92562
  -165918,     66520
   -20924,    -72533
   -29396,     18023
     4909,     -6792
   -67781,    -22300
   -52458,   -100702
  -143470,    -53038
    32476,    126080
    39819,    -36822
    69367,     35134
   -32536,    107742
   -42346,    -91833
   -23059,     88690
    32083,     15451
   -71901,    113263
  -137101,     11712
   -13693,     48652
   115550,     34873
     3616,    -58093
    24604,    -21598
    29866,     35736
   -70219,    -17227
    96958,    114046
    61776,    -30429
    46766,    112034
   -66897,     79238
    46050,    -37854
    51885,    -39739
   -27754,    -19697
   -35673,     14245
     1443,    -27713
    11988,     23189
   167716,    -21243
    -6327,    -91167
    89698,     23315
      536,     51297
   -27470,    -82394
    23024,       790
    -6567,      -784
   -16298,     74338
   -42703,    -36593
    44785,    -60868
    43584,   -133799
  -104461,    -24603
    31395,    -17497
    12136,      7770
   -48866,    -21594
    65865,       302
   -25583,    -16980
    39021,     72872
   -92445,      3781
   -41430,    -90543
   -62487,    -26997
   -60247,     87846
     4888,      1276
   -13549,    -28429
    -6239,    -11339
    41349,    -51073
   -63571,     19941
    76410,     29724
   -65739,     71635
   -70515,     -7984
     5239,     68051
    34379,     70917
     7290,     22245
   -76561,    -28175
     1260,    -34005
   -14603,    -28853
   -12885,     96676
    80069,    -39561
    12986,     54717
     -249,     22292
    87719,      7744
    28520,      8244
    32449,     25115
   -91730,     42943
   -10402,    -27858
    16341,     28850
    72924,     43374
     3919,    -87857
      825,    -13198
    33173,    -21339
    47409,    -54121
     2429,     20909
    57797,    -18546
   -29749,     79251
    -4233,    -29184
    59182,    -12604
    34915,    -44248
   -79136,    -26629
   -55384,      -845
     8635,    -57610
     2933,    -35030
    24903,     20190
     7299,    -83342
    18301,     52854
   -16271,    -40806
    21556,    -42845
   -48758,     -2672
   -43515,     62485
   -47249,     63270
   -19745,    -55533
     3948,     -6109
    14295,     -8999
   -93594,    -35020
    19625,     24815
   -17874,    -31354
   -11616,     -3040
    -6853,     66051
    44233,     35722
    11435,     75970
   -49194,    -46080
     9570,      2981
   -28049,     19031
   -68818,     82250
    16864,      1092
   -12459,    -43133
    27375,     16831
    50323,     34219
    13227,    -35742
    53067,     37817
   -48145,    -10821
    32496,     24336
     7243,     59388
    55041,     72968
      838,    -18134
   -40392,    -58119
    40188,     -2540
    28850,    -12808
   -44721,    -11804
    60729,    -26049
   -22388,     -8566
    63162,      5770
    54285,     19454
    57402,    -37503
   -31155,      1004
   -75305,    -18689
    40099,     -7888
    -9483,      3333
   -23919,     31266
    -4695,    -81154
   -35023,    -26751
    53648,    -36327
    10513,    -24566
   -39491,    -51501
    -3673,     38524
   -45148,     36011
    47547,    -16601
    -3449,     20218
     4568,     12951
   -93551,    -23875
   -52446,       622
    24081,    -33204
   -34140,      6192
   -58555,     23878
    37803,    -11823
    -4389,     28803
    43867,    -39253
    -5835,     25227
   -14875,      6211
   -50283,     87819
   -17594,     34284
    28458,    -26476
   -18095,     49696
    -7364,     48769
   -10487,    -55446
    14038,      8018
    26859,    -48165
     1157,     45358
     1155,     23325
    71903,     66934
    21328,      1884
    22640,    -48472
    13806,     51052
    16770,     14370
