real, imaginary
  8516749,         0
  -136212,   -145257
   835477,    565929
   319386,    543359
   671580,   -523182
  3584288,  -2669087
   -29584,    268843
  -233261,    528134
   896633,    975042
 -1009043,   -684260
    79657,    415908
  -368508,   -550402
  -490662,    844243
  -323338,   -269401
    97983,    691232
   287693,    316611
  -305329,   -121555
  -123466,     57194
  -698849,    114898
   858784,   -498127
    13272,   -465458
   197833,     31060
    86271,   -301757
  -231661,    -95518
    77864,    134508
   -52679,   -225635
   208343,    341667
  -389587,   -419300
   133321,    200646
   263042,    349737
   207425,    422287
   -26713,    -44592
  -364931,    230225
   287135,   -237646
  -181679,     -8284
   176927,    207180
  -242252,   -294464
   170936,   -257039
  -146538,     32783
  -237599,     42267
   -91384,    148100
   -96938,   -334360
    88657,   -195107
   101396,    145291
   105753,    201184
   -47741,    -88920
   235210,    158112
   227702,     24603
  -134516,    -44284
    18579,     31223
   -96806,    -64433
   291575,    -40381
   -10319,    120979
  -224538,    -45223
  -206148,    136774
    29723,    -75574
  -215735,    102493
    30089,    -39761
    12317,    -32778
   -28630,   -111777
    56906,     93038
   123721,    141030
   -25271,   -173507
   127038,    -64994
   -76531,   -137297
    31119,     22120
   143080,   -100364
    19887,     18208
       71,    146534
     1907,    -68684
  -219386,    151895
     9739,    -19709
    73218,    199901
   -27839,    -74009
   -84016,     -1253
   135686,     11579
   -62292,    110768
    60195,     49715
  -166652,   -187385
    39863,    -37382
    54221,   -250730
   -35474,    122833
   -87893,      3240
   112301,   -124250
    34538,      6236
   -62397,     81114
   -58431,    125332
      -31,    -80378
   124240,     19648
   168986,     -2261
   -35494,    201195
   -36014,    -48584
   -42923,    -55940
   115335,    144147
   -63449,   -100448
  -108823,    -49550
  -130692,    -89179
   114818,       310
   -26707,     61281
   -59949,     76385
  -132771,    -94678
    75821,    -45420
     6494,     53114
    20276,     -5074
    88370,     15778
   115666,    -88984
    32217,    -34301
    -3757,    172418
   -10979,    -45496
   -12773,    -67152
    38098,    -16900
   -32320,     24669
   -76022,      4824
    32188,     59701
   -92265,     78846
    59916,     33183
  -127544,      1719
   -29029,    -69219
    10594,     41160
   126021,     15669
   -62036,   -111013
    63318,      4002
    46552,    -69311
   -82380,     56778
    16296,    -81901
   -29734,    -17308
    91017,    -95311
    27696,     58575
   -98285,     98354
    20234,     33699
    70306,     35547
    16095,     29809
  -114537,     94615
    58584,    -64198
   -48494,    -34034
   140132,     42498
   -10449,     24568
  -113745,       877
   -45119,   -168525
    -7299,     59134
    10591,    -12279
   -39870,    -22417
   -34397,   -120409
    43589,     52463
    85707,     36372
   -36901,    104901
   -49755,      -317
   126246,    -97881
    20542,     26279
    14632,     46151
    -1838,     13448
    42754,     -2890
    37100,    -44716
   -74437,     55521
   -95157,     39401
   -54628,    -56183
     8023,    -56698
    18139,     97704
   -33936,    -58541
   -19987,     30805
   -39718,     14915
    82242,     28330
    -6331,    -43305
    18473,    -41769
    16206,    -93146
    68420,     60211
    49165,    -18378
   -48907,    -12028
    67875,     28201
   -76780,     -9723
   -34580,      3172
   -33403,     60758
    50152,     -5700
    33301,     24534
   -63916,     62307
   -22593,     31235
   -24378,    -19047
    84044,     33060
   -92460,    -70353
    34745,    -16695
    10690,   -118353
   -13909,     18210
    66370,     39448
   -72766,      1098
    -8353,   -111148
   -25101,     11423
    67100,     53783
   -42930,     35227
    66006,     -9712
    27221,     13868
    34560,     53414
    17309,     69710
  -120693,     -5634
    74790,    -28037
    51196,    -65154
   -44648,     23438
   -62486,      2432
   -15638,     -2481
    -1075,    -29924
   -32728,     15296
   -28265,     -7555
   -89833,    -20737
    81061,    -69990
    29689,     74607
    61208,     18578
    24742,    -11856
   -28688,    -37266
    24573,     54873
    66643,    -37156
   -15921,      3606
     5547,    -35124
    11486,    -16249
   -13991,     74454
   -61275,     11567
   -11365,     46140
   -48592,      -718
    -9532,    -46085
   -38131,     16560
    22295,     42730
    54971,      -633
    -6164,    -54424
   -10793,     49262
     9474,   -111877
    -2439,     36819
    16347,    -52728
     5195,    -36853
    69901,    -17707
   -47065,     -4509
     5674,     77717
   -42780,     45744
    33935,      5824
   -30780,    -52712
    35102,     99226
   -13291,       117
    -1144,      -846
    43242,     56385
    -4772,    -47696
   -21314,     23380
   -72423,    -72068
   -33338,    -17166
    71388,    -52065
    -1425,      2141
   -43332,    -23442
   -32002,     15875
    47112,     18777
   -42435,    -13307
    79625,     64010
   -20820,    -45833
    46922,    -19350
    39627,     43287
    40937,     56157
    -3489,     21690
    -4127,    -51942
   -73893,     -3616
     4743,     -9535
     5232,     10626
