real, imaginary
  7158789,         0
  -852396,    -13680
  -160790,   -278780
  -751752,    138105
   115176,   -356723
    44284,   -608119
  -609235,    228482
   685142,  -1904284
 -1608747,  -1986750
  1402171,   2082748
  -718450,   1950919
   574192,     56240
  -382090,    562640
  -122805,    172718
   572303,    -24260
    86365,    366012
   416125,   -155941
  1255317,   -176992
   169398,    216876
   462095,    -97860
   129154,   -103146
   -97620,    216505
   -26908,   -164861
  -315774,   -147149
   519142,    474531
     1693,    393220
   281013,   -209019
  -529858,   -341478
   308278,    239485
   321707,    215155
   221944,    122858
   -22158,    346553
   109759,    -97727
  -136069,    233087
  -254311,    491705
  -285943,    -18003
   420845,    205439
   -48469,    175973
   363569,     43142
   462463,    354484
    20284,    237135
   251753,     47584
  -343962,     17356
   177576,    143563
   284149,      8687
    40732,    -72676
  -348276,      5483
   -18666,    -65681
   -38940,    147001
    -1961,    241692
  -108658,    165920
   266212,     -1664
  -130501,     64442
    50433,    309444
  -107887,     83569
   -81073,    173538
  -167143,     33158
   -88408,    -99427
   116196,    175597
    56325,    -26229
   159724,    113393
  -290267,    336484
   -25827,    125292
   257085,    162085
   -12441,     58589
  -109648,    -18488
   142076,   -132664
  -170232,   -110589
   135885,    119462
   -69578,     22556
    -5910,    -63336
  -173613,    -92321
   -21114,     29850
   -51476,    114438
   -64622,     36696
   -50199,    149474
  -148936,     79896
   -42847,     64059
   122875,   -130177
    63881,   -129436
  -139241,    134552
    66316,    -36130
    43618,     82825
    38728,    133128
   -48547,     18478
    10940,     35497
  -265841,   -153415
   216466,     46816
    97360,     76410
    63013,   -105874
    70137,    -10270
    22903,    -61882
   -23580,    -49523
    53779,   -105465
   -58833,    -51456
   -77463,    103361
   -37466,     20395
     4873,    -12977
   -12877,    -57054
   -63854,     64464
    61183,     33616
   -51266,    -37374
   232753,    108229
   174618,     34079
    31341,     46963
  -162661,    -33160
    92888,     -9185
   -23205,     56642
    61284,   -137077
    84563,     47769
    66807,     34752
    77661,    -24869
   130967,     73964
   -34594,    -67729
    66141,     82678
    82346,     50809
   -16253,   -109687
    97910,    -43800
    24456,    -30700
   -45069,     28756
  -163613,      1273
   101345,     55715
   100781,     35342
    76424,     10572
   -45511,    166341
    88708,     86300
   -21089,     89168
    87096,     49536
     -277,      -242
    58182,     19926
   113539,    -51779
    62642,     27961
    -6300,    -31053
    97349,     80464
      200,    183810
   -71998,    -28450
    97480,     63080
    47216,    -44942
    26518,    -48597
   -74003,    138216
    47131,      3171
    10571,    -38752
    64373,    -11931
   -81112,     38955
    23080,     32485
   -45710,     33612
      401,    134144
   -66338,     61541
     5081,     98393
    22288,     71979
     7479,    -25992
    17250,      -273
   130351,    -26172
    39842,     70479
    -3421,     88517
    65201,     58061
   -59096,    -74914
    12933,   -102206
  -107211,    134836
    -9214,    -17203
     1613,    -47560
    52496,     73888
   -23226,    -38971
    34176,     29358
   -47552,       909
    15905,    -26511
   -40636,     17347
    16913,      6937
   -41152,     41514
   -27177,     14644
   -74270,     20162
   -20599,    -63209
     9861,    -36195
    27076,    151470
   130084,     51270
    11226,    -45660
    66911,     -7826
   -20327,     39120
    -6769,    -21571
   -16689,    -74111
    21273,    -32035
    26093,   -106424
    63698,       433
   -79901,     18613
    62546,    -59902
   -58949,     68125
     5549,    -33869
    33538,    -28394
    48301,     86686
    35512,    -27526
   -43258,    -76428
   -29731,    -51354
   -10298,     48551
    83613,     13021
     -771,    -49716
    46331,     16377
    64344,      5526
    35062,     74323
   -35092,     80184
    71385,    -12686
    12277,    -30956
   117270,    -45236
     9208,    -54999
   149338,    -46011
    10324,     17125
   -21874,    -42352
    22662,    -30265
     8867,     82548
    65594,    -37893
   -12845,    -24164
   -80133,     30409
    69963,      1708
    65274,     79139
   -14871,     25947
    69713,    -35480
    43651,    -35828
    74325,      3687
   -22502,     82936
    97137,     46382
   -51058,     52585
    27471,     32754
    -7501,    -11150
    59179,     18418
    87524,     -8108
    35131,     -6816
    28844,     46381
    92138,     44414
    97310,    -13841
     2790,      1213
  -110165,    -22080
    32742,    -70050
    12341,     42193
   -64626,     63587
    88886,     15378
   -86937,     13717
    32617,    -12255
     8542,     56177
    51974,     60053
    20533,     19466
    35859,     64139
   -28250,     44848
    28461,      1216
    13627,    -31071
   -17506,    -16487
   -87889,     35599
   103508,      8582
    74681,      7744
    42253,     81589
     5009,     25281
   -48863,    -31001
     6638,     -5334
   -14815,      1351
   104986,    -21794
   -87666,    -57608
     3653,    -56598
    -7058,     21934
