real, imaginary
    73922,         0
    73830,      -487
    73696,      -890
    73523,     -1471
    74313,     -1849
    74096,     -2573
    74221,     -3490
    73983,     -3552
    74269,     -4026
    74561,     -4654
    75194,     -5603
    75082,     -6331
    75332,     -7196
    75113,     -6905
    76353,     -8087
    76685,     -8303
    77045,     -9468
    77641,    -10087
    77505,    -11138
    78121,    -10746
    79038,    -11125
    79846,    -12665
    80413,    -13675
    80284,    -14985
    81910,    -15170
    81709,    -15132
    83765,    -16576
    84161,    -17855
    84907,    -18169
    84376,    -17071
    85582,    -19565
    89058,    -19485
    89761,    -22607
    88191,    -22025
    77885,    -16529
    73592,     -8863
   102436,    -41460
    96940,    -29876
   101501,    -29469
   104858,    -33540
   105789,    -34989
   104985,    -35851
   107140,    -36444
   110939,    -37678
   113778,    -40302
   117534,    -43107
   119713,    -45916
   123030,    -48143
   127184,    -49257
   132570,    -52426
   136939,    -55832
   141609,    -60649
   146850,    -63469
   153382,    -67298
   162361,    -71763
   171364,    -77709
   179812,    -84519
   190753,    -90739
   203262,    -98889
   218630,   -107927
   237785,   -118311
   259935,   -134468
   285887,   -151403
   319766,   -171497
   365089,   -198226
   429081,   -236579
   522219,   -293455
   667341,   -385064
   925279,   -547513
  1572034,   -938436
  5436457,  -3304923
 -3581722,   2214822
 -1329195,    835458
  -805048,    519781
  -572350,    376310
  -442842,    292248
  -359507,    242038
  -302134,    206980
  -258023,    181050
  -224400,    160868
  -198073,    143975
  -178248,    130328
  -160658,    120005
  -145754,    111324
  -132885,    103333
  -121546,     96321
  -112502,     90295
  -104610,     85149
   -97350,     80844
   -90616,     76789
   -84508,     72845
   -79571,     69156
   -75058,     66181
   -70484,     63586
   -66406,     61183
   -62654,     58751
   -59250,     56273
   -56461,     54099
   -53624,     52532
   -50914,     50855
   -48299,     49132
   -45859,     47464
   -43820,     45905
   -42015,     44600
   -39968,     43365
   -38067,     42155
   -36409,     41034
   -34785,     39685
   -33496,     38660
   -32106,     37815
   -30612,     36942
   -29349,     36019
   -28091,     35020
   -27064,     34125
   -25954,     33548
   -24934,     32830
   -23820,     31991
   -22753,     31242
   -22048,     30641
   -21246,     29961
   -20399,     29427
   -19523,     28879
   -18760,     28123
   -18006,     27515
   -17305,     27054
   -16714,     26568
   -16035,     26066
   -15406,     25590
   -14829,     25071
   -14267,     24628
   -13744,     24134
   -13132,     23694
   -12639,     23249
   -12218,     22748
   -11719,     22443
   -11216,     22091
   -10733,     21649
   -10282,     21232
    -9935,     20920
    -9562,     20503
    -9166,     20210
    -8735,     19918
    -8338,     19526
    -7996,     19141
    -7688,     18832
    -7322,     18569
    -7003,     18274
    -6635,     17956
    -6326,     17606
    -6151,     17400
    -5816,     17133
    -5546,     16869
    -5216,     16581
    -4909,     16259
    -4733,     16032
    -4527,     15780
    -4228,     15549
    -3953,     15306
    -3717,     15086
    -3508,     14756
    -3284,     14519
    -3075,     14383
    -2932,     14111
    -2667,     13888
    -2452,     13608
    -2284,     13393
    -2115,     13226
    -1959,     13060
    -1741,     12812
    -1614,     12595
    -1417,     12407
    -1320,     12173
    -1073,     12000
     -961,     11822
     -765,     11586
     -577,     11368
     -561,     11238
     -398,     11021
     -179,     10831
      -62,     10657
      -10,     10447
       97,     10243
      270,     10171
      465,     10014
      547,      9803
      636,      9643
      756,      9429
      891,      9244
      939,      9132
     1089,      8966
     1190,      8767
     1260,      8637
     1321,      8427
     1424,      8319
     1576,      8193
     1674,      8011
     1727,      7792
     1801,      7718
     1867,      7528
     2027,      7450
     2086,      7267
     2147,      7077
     2248,      6934
     2243,      6816
     2348,      6658
     2437,      6532
     2528,      6411
     2629,      6197
     2632,      6070
     2655,      5972
     2755,      5852
     2825,      5733
     2863,      5562
     2935,      5351
     2963,      5242
     3024,      5156
     3073,      5008
     3121,      4839
     3213,      4718
     3202,      4591
     3253,      4484
     3329,      4357
     3347,      4218
     3403,      4041
     3417,      3944
     3439,      3822
     3516,      3655
     3554,      3580
     3609,      3454
     3578,      3271
     3616,      3159
     3623,      3103
     3691,      2917
     3741,      2793
     3776,      2675
     3747,      2521
     3726,      2439
     3846,      2317
     3862,      2191
     3924,      2069
     3831,      1928
     3821,      1828
     3896,      1709
     3952,      1570
     3951,      1427
     3908,      1306
     3967,      1250
     3953,      1081
     4008,       981
     4024,       837
     3977,       709
     3983,       581
     3984,       448
     4033,       381
     4079,       251
     4027,       125
