real, imaginary
    36962,         0
    63769,    -18678
    70794,     12635
    38970,      6567
    56119,    -21889
    76570,      3800
    44164,     12349
    48699,    -22601
    79738,     -6244
    53329,     15801
    42197,    -19401
    80941,    -18122
    64868,     16610
    38806,    -13890
    78585,    -29671
    79916,     12977
    38475,     -4720
    73663,    -40835
    96435,      4467
    45156,      5793
    65584,    -49286
   115819,    -11445
    59913,     18425
    56374,    -55415
   136721,    -36680
    90011,     29977
    45321,    -55660
   161905,    -78733
   146514,     40117
    38138,    -47957
   198175,   -157826
   282117,     38413
    44702,    -10998
   309067,   -416505
  1040452,    -33891
   817023,   1029272
  -354553,   1112053
  -686082,    179538
   -97457,   -142964
    25354,    198953
  -225282,    131157
   -79773,    -85614
    64767,     71551
  -101793,    119462
   -77510,    -53804
    70122,     12565
   -31698,    107174
   -74808,    -24771
    63627,    -24783
    18148,     92000
   -66674,      2386
    49840,    -48671
    58359,     70677
   -51407,     29248
    32153,    -63702
    91720,     43722
   -27275,     53993
    12439,    -69337
   121086,      9075
     9738,     77057
    -6275,    -65495
   148505,    -34753
    66774,     96627
   -21766,    -51763
   182812,    -99346
   170966,    115157
   -28098,    -18714
   260081,   -234925
   483998,    144789
    16124,    115892
  1492217,  -2057223
 -2128952,    -60166
  -154932,   -202203
  -135877,    280302
  -350668,     74544
  -109808,    -81611
   -32998,     99441
  -173391,     78834
   -98981,    -43394
   -13378,     40247
   -99137,     72013
   -89775,    -17991
   -11912,     11876
   -57816,     60989
   -79281,       447
   -16876,     -2098
   -32324,     48121
   -67116,     13901
   -23059,     -7483
   -17426,     35066
   -54075,     22653
   -28657,     -7353
    -9634,     23115
   -41441,     27227
   -32340,     -3954
    -6747,     13175
   -29640,     28128
   -33669,      1267
    -7345,      5791
   -19778,     26214
   -32587,      6726
    -9915,      1176
   -12148,     22247
   -29415,     11709
   -13138,      -869
    -7155,     17278
   -24837,     15342
   -16237,      -623
    -4385,     11939
   -19467,     17316
   -18306,      1165
    -3750,      7331
   -14040,     17534
   -19194,      4057
    -4718,      3714
    -9323,     16255
   -18575,      7045
    -6663,      1478
    -5499,     13797
   -16730,      9861
    -8786,       651
    -3091,     10701
   -14016,     11734
   -10800,      1154
    -1981,      7490
   -10700,     12710
   -12056,      2550
    -2129,      4624
    -7414,     12534
   -12471,      4496
    -3178,      2502
    -4500,     11346
   -11916,      6579
    -4708,      1313
    -2307,      9449
   -10470,      8297
    -6343,      1017
    -1059,      7202
    -8434,      9503
    -7660,      1674
     -700,      4905
    -6076,      9883
    -8562,      2861
    -1159,      3036
    -3825,      9429
    -8655,      4410
    -2192,      1643
    -1884,      8350
    -8042,      5888
    -3466,      1026
     -555,      6774
    -6797,      7145
    -4766,      1093
       93,      4947
    -5152,      7828
    -5768,      1814
       55,      3220
    -3347,      7859
    -6291,      2867
     -585,      1902
    -1648,      7267
    -6179,      4122
    -1593,       979
     -317,      6190
    -5515,      5248
    -2737,       701
      480,      4807
    -4361,      6113
    -3770,       981
      755,      3319
    -3009,      6471
    -4444,      1762
      455,      1978
    -1502,      6281
    -4736,      2714
     -248,      1000
     -275,      5607
    -4501,      3765
    -1231,       430
      688,      4546
    -3796,      4667
    -2217,       417
     1120,      3303
    -2700,      5236
    -3065,       844
     1147,      2042
    -1496,      5316
    -3591,      1641
      640,       945
     -317,      5011
    -3646,      2475
     -115,       263
      675,      4206
    -3247,      3408
    -1040,       -34
     1325,      3192
    -2506,      4088
    -1901,       137
     1501,      2063
    -1510,      4422
    -2577,       639
     1315,      1000
     -424,      4356
    -2860,      1469
      703,       128
      571,      3867
    -2802,      2275
     -106,      -341
     1303,      3027
    -2326,      3044
     -990,      -438
     1711,      2092
    -1530,      3467
    -1728,      -114
     1681,       928
     -605,      3656
    -2236,       497
     1301,       144
      359,      3433
    -2365,      1241
      640,      -556
     1160,      2843
    -2198,      1993
     -221,      -826
     1708,      1972
    -1636,      2600
     -991,      -783
     1886,      1021
     -838,      2974
    -1677,      -367
     1689,        38
       55,      2949
    -2039,       302
     1212,      -755
      911,      2583
    -2041,      1051
      418,     -1228
     1590,      1871
    -1722,      1730
     -392,     -1336
     1905,       978
    -1082,      2226
    -1161,     -1111
     1927,        13
     -289,      2423
    -1690,      -557
     1573,      -858
      609,      2261
    -1974,       102
      923,     -1517
     1309,      1685
    -1817,       835
       97,     -1821
     1842,       925
    -1402,      1444
     -711,     -1790
