real, imaginary
   -27332,         0
   -27395,       528
   -27454,      1144
   -27152,      1411
   -27277,      2238
   -27349,      2432
   -27527,      3054
   -27204,      3389
   -27728,      4342
   -27387,      4349
   -27566,      5211
   -27499,      5637
   -27976,      6106
   -27343,      6401
   -27996,      7415
   -27946,      7563
   -28198,      8516
   -28111,      8985
   -28652,      9564
   -28109,      9915
   -28695,     11518
   -28619,     11361
   -28877,     12271
   -28483,     13108
   -29172,     13651
   -28808,     13788
   -29411,     15286
   -29557,     15783
   -30207,     16940
   -29086,     16105
   -31343,     18807
   -30795,     18074
   -30987,     20175
   -29689,     20132
   -38833,     26133
   -21664,     14543
   -28807,     17196
   -32399,     25947
   -31840,     26852
   -35302,     28856
   -32577,     28159
   -34227,     31227
   -35306,     32099
   -35768,     33498
   -35891,     35492
   -37450,     37806
   -37592,     38749
   -38319,     42115
   -39348,     44178
   -40754,     46391
   -41137,     49260
   -42483,     53070
   -44307,     55582
   -44876,     59510
   -46739,     63955
   -49524,     68641
   -51084,     73426
   -53495,     80155
   -56685,     87128
   -59720,     95561
   -63537,    106267
   -69360,    118376
   -75162,    132043
   -82117,    151623
   -93779,    177388
  -106946,    209786
  -126431,    260479
  -161104,    339590
  -221352,    481636
  -362865,    830300
 -1225558,   2935244
   793556,  -1959426
   285111,   -738729
   169972,   -458536
   119044,   -330910
    88504,   -259478
    70028,   -215715
    57345,   -183106
    47168,   -159647
    39402,   -142047
    34356,   -127601
    29393,   -115547
    25044,   -106399
    21947,    -98334
    19145,    -91160
    16353,    -85241
    14693,    -80122
    12786,    -75350
    10992,    -71228
     9576,    -67788
     8493,    -64321
     7112,    -61193
     5892,    -58743
     5101,    -56182
     4205,    -53770
     3318,    -51879
     2726,    -49930
     1974,    -47882
     1211,    -46389
      719,    -44889
      126,    -43336
     -491,    -41970
     -848,    -40808
    -1290,    -39467
    -1774,    -38356
    -2247,    -37287
    -2517,    -36252
    -2944,    -35189
    -3275,    -34468
    -3516,    -33476
    -3808,    -32648
    -4144,    -31841
    -4370,    -31128
    -4678,    -30256
    -4946,    -29639
    -5166,    -29009
    -5338,    -28341
    -5692,    -27655
    -5762,    -27129
    -5938,    -26485
    -6185,    -25938
    -6356,    -25481
    -6549,    -24982
    -6746,    -24374
    -6830,    -23937
    -6958,    -23485
    -7169,    -22992
    -7282,    -22606
    -7414,    -22164
    -7557,    -21759
    -7688,    -21338
    -7789,    -20982
    -7911,    -20578
    -8018,    -20163
    -8108,    -19836
    -8197,    -19573
    -8333,    -19181
    -8445,    -18827
    -8539,    -18510
    -8550,    -18187
    -8702,    -17888
    -8751,    -17601
    -8904,    -17315
    -8947,    -16936
    -9044,    -16742
    -9114,    -16471
    -9201,    -16157
    -9223,    -15857
    -9316,    -15703
    -9338,    -15329
    -9484,    -15145
    -9513,    -14901
    -9533,    -14643
    -9640,    -14410
    -9691,    -14187
    -9722,    -13944
    -9759,    -13745
    -9872,    -13538
    -9914,    -13321
    -9976,    -13034
    -9992,    -12925
   -10032,    -12721
   -10123,    -12459
   -10165,    -12289
   -10173,    -12134
   -10232,    -11873
   -10316,    -11707
   -10293,    -11548
   -10356,    -11341
   -10378,    -11142
   -10461,    -10986
   -10452,    -10743
   -10522,    -10583
   -10513,    -10473
   -10544,    -10270
   -10638,    -10107
   -10672,     -9947
   -10639,     -9799
   -10702,     -9618
   -10732,     -9472
   -10748,     -9299
   -10760,     -9121
   -10861,     -8965
   -10811,     -8829
   -10873,     -8684
   -10923,     -8529
   -10875,     -8376
   -10980,     -8166
   -10976,     -8108
   -11026,     -7920
   -11027,     -7827
   -11030,     -7643
   -11071,     -7547
   -11049,     -7365
   -11123,     -7225
   -11113,     -7074
   -11136,     -6943
   -11145,     -6803
   -11215,     -6668
   -11190,     -6541
   -11211,     -6436
   -11232,     -6270
   -11237,     -6162
   -11232,     -6004
   -11292,     -5917
   -11304,     -5775
   -11316,     -5659
   -11316,     -5520
   -11341,     -5447
   -11324,     -5265
   -11386,     -5138
   -11434,     -4984
   -11365,     -4943
   -11372,     -4760
   -11422,     -4744
   -11439,     -4582
   -11446,     -4432
   -11452,     -4225
   -11451,     -4192
   -11442,     -4080
   -11473,     -3937
   -11506,     -3858
   -11471,     -3759
   -11537,     -3557
   -11528,     -3528
   -11502,     -3435
   -11489,     -3263
   -11564,     -3139
   -11532,     -3046
   -11551,     -2950
   -11587,     -2813
   -11570,     -2720
   -11563,     -2584
   -11549,     -2487
   -11571,     -2351
   -11554,     -2252
   -11632,     -2157
   -11601,     -2052
   -11606,     -1982
   -11613,     -1799
   -11656,     -1719
   -11591,     -1628
   -11642,     -1504
   -11601,     -1411
   -11649,     -1298
   -11630,     -1110
   -11661,     -1073
   -11589,      -966
   -11653,      -828
   -11665,      -739
   -11617,      -677
   -11588,      -548
   -11681,      -398
   -11638,      -330
   -11645,      -209
   -11659,      -125
