real, imaginary
    31164,         0
    31198,       709
    30929,      1688
    31734,      1901
    31500,      3266
    31588,      3285
    31411,      4250
    32246,      4539
    31432,      6325
    32437,      5945
    32303,      7453
    32905,      7902
    32366,      8579
    34040,      8814
    33307,     10507
    33899,     10497
    33927,     12035
    34635,     12593
    34309,     13405
    36088,     13582
    35675,     16511
    36560,     15834
    36952,     17331
    38634,     18511
    38281,     19309
    40115,     19091
    39962,     21601
    40947,     22212
    40906,     23954
    44444,     22009
    41396,     26780
    43994,     24816
    45277,     28322
    49623,     27889
    33461,     38822
    69432,     15374
    57060,     20287
    52457,     36821
    55976,     37924
    51710,     41051
    59811,     39114
    59718,     44231
    60714,     45141
    63290,     46976
    66767,     49858
    67822,     53342
    72016,     54086
    75491,     59529
    78656,     62210
    81740,     65188
    87432,     69233
    91813,     74998
    96119,     78016
   103744,     83631
   110103,     90016
   115862,     96512
   125617,    102984
   135617,    112742
   146463,    122478
   160866,    134217
   177406,    149666
   195474,    166744
   220220,    185289
   252900,    213133
   290787,    249662
   348252,    294364
   431289,    366317
   556023,    477771
   790677,    676116
  1371189,   1166055
  4825862,   4119539
 -3226288,  -2754984
 -1219978,  -1039064
  -753168,   -645888
  -544862,   -465059
  -431018,   -364302
  -355320,   -303660
  -302326,   -257458
  -264843,   -224445
  -236118,   -199841
  -211279,   -179470
  -192847,   -162245
  -178019,   -149577
  -164353,   -138269
  -153281,   -128129
  -144352,   -119740
  -135078,   -112695
  -127867,   -105879
  -121590,   -100057
  -115678,    -95393
  -110091,    -90406
  -105708,    -86025
  -101710,    -82588
   -97505,    -79019
   -93973,    -75537
   -90931,    -73000
   -87576,    -70217
   -84915,    -67335
   -82580,    -65172
   -80037,    -63178
   -77850,    -60893
   -76029,    -59005
   -73831,    -57380
   -71969,    -55447
   -70406,    -53943
   -68929,    -52400
   -67214,    -50926
   -66031,    -49390
   -64646,    -48496
   -63196,    -47041
   -62051,    -45871
   -61015,    -44790
   -59796,    -43817
   -58851,    -42478
   -57894,    -41675
   -56933,    -40782
   -55996,    -39871
   -55426,    -38864
   -54421,    -38119
   -53571,    -37229
   -52942,    -36458
   -52227,    -35843
   -51522,    -35090
   -50948,    -34254
   -50180,    -33678
   -49678,    -33035
   -49076,    -32403
   -48505,    -31799
   -47988,    -31164
   -47501,    -30589
   -46957,    -30065
   -46521,    -29446
   -46030,    -28974
   -45535,    -28300
   -45219,    -27962
   -44716,    -27470
   -44332,    -26960
   -43962,    -26407
   -43586,    -26075
   -43163,    -25494
   -42943,    -25159
   -42537,    -24755
   -42172,    -24316
   -41887,    -23817
   -41622,    -23583
   -41248,    -23128
   -40994,    -22749
   -40737,    -22328
   -40383,    -22087
   -40094,    -21629
   -39955,    -21313
   -39609,    -20971
   -39409,    -20616
   -39230,    -20227
   -38982,    -19974
   -38665,    -19618
   -38531,    -19315
   -38313,    -19016
   -38071,    -18704
   -37873,    -18359
   -37687,    -18172
   -37507,    -17866
   -37380,    -17550
   -37149,    -17268
   -36946,    -17048
   -36789,    -16668
   -36631,    -16465
   -36431,    -16215
   -36323,    -15927
   -36139,    -15627
   -36013,    -15409
   -35786,    -15158
   -35725,    -14914
   -35578,    -14680
   -35458,    -14461
   -35396,    -14126
   -35266,    -13963
   -35003,    -13688
   -34936,    -13527
   -34843,    -13309
   -34771,    -13113
   -34494,    -12765
   -34526,    -12624
   -34412,    -12439
   -34273,    -12190
   -34103,    -12001
   -34080,    -11776
   -33974,    -11506
   -33919,    -11354
   -33791,    -11149
   -33698,    -10986
   -33574,    -10724
   -33587,    -10610
   -33381,    -10356
   -33332,    -10155
   -33289,     -9970
   -33243,     -9847
   -33104,     -9617
   -33084,     -9436
   -32992,     -9227
   -32904,     -9023
   -32824,     -8798
   -32757,     -8700
   -32650,     -8483
   -32669,     -8322
   -32578,     -8120
   -32529,     -7927
   -32528,     -7736
   -32410,     -7633
   -32365,     -7466
   -32299,     -7270
   -32224,     -7107
   -32214,     -6877
   -32171,     -6662
   -32135,     -6602
   -32054,     -6413
   -32022,     -6231
   -31953,     -6023
   -31882,     -5904
   -31846,     -5718
   -31869,     -5572
   -31815,     -5408
   -31752,     -5238
   -31730,     -5043
   -31715,     -4937
   -31660,     -4802
   -31607,     -4674
   -31598,     -4453
   -31539,     -4270
   -31496,     -4058
   -31548,     -4002
   -31421,     -3855
   -31472,     -3679
   -31451,     -3470
   -31375,     -3384
   -31367,     -3154
   -31436,     -3054
   -31359,     -2872
   -31318,     -2722
   -31347,     -2559
   -31349,     -2439
   -31193,     -2275
   -31279,     -2116
   -31250,     -1972
   -31234,     -1842
   -31186,     -1634
   -31240,     -1491
   -31175,     -1386
   -31169,     -1210
   -31170,     -1051
   -31220,      -930
   -31096,      -734
   -31206,      -623
   -31178,      -441
   -31124,      -328
   -31172,      -151
